Scenario,"Decision Rule (0: fixed, 1: adaptive)",Time of starting social distancing,Time of lifting social distancing,Switch threshod if social distancing is off,Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total New: I,Total: To I,Averge size: S,Averge size: Population size,Average ratio: % Susceptible
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1787442649,464048669,937.9807692,1787433269,357486653.8,625,625,99595.51923,100001,0.995953098
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1598557544,448040070,619.8176923,1598551346,319710269.2,413,413,99754.37736,100001,0.9973405
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1787663309,1789498617,1004.014615,1787653269,357530653.8,669,669,99537.38323,100001,0.995202641
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2531920323,2119927317,139416.9592,2530526154,506105230.8,92897,92897,74786.42708,100001,0.724403408
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1692102410,1737399153,510.2615385,1692097308,338419461.5,340,340,99762.78846,100001,0.997513692
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2541664483,1499846043,142332.9538,2540241154,508048230.8,94840,94840,70628.4336,100001,0.705791618
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1974607606,863291901,741.38,1974600192,394920038.5,494,494,99728.77273,100001,0.996893594
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-846637961.1,1939561116,430.7207692,846633653.8,169326730.8,287,287,99816.1573,100001,0.998158352
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2067731211,1094166452,505.7592308,2067726154,413545230.8,337,337,99788.45699,100001,0.997784882
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2072766279,1518871825,2012.531538,2072746154,414549230.8,1341,1341,99167.40909,100001,0.990111604
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2544442798,1934996812,143164.38,2543011154,508602230.8,95394,95394,72911.34746,100001,0.714029685
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-658073816.8,1880872988,208.6069231,658071730.8,131614346.2,139,139,99921.75904,100001,0.999117075
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2535892210,1527900317,140605.5685,2534486154,506897230.8,93689,93689,73076.62281,100001,0.723737061
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1413890061,320486048,1563.801538,1413874423,282774884.6,1042,1042,99328.1875,100001,0.993233505
