Replication,Simulation Period,To: I,To I,Action Code,Simulation Time,In: S,In: E,In: I,In: R,S,I,Population size,% Susceptible,% Infectious,Replication,Observation Period,Obs: To I,Obs: Action Code,Epidemic Time,Obs: % Susceptible,Obs: % Infectious
2,17,4902,4902,"1,1",0.326923077,44460,3778,4602,47160,44460,4602,100000,0.4446,0.04602,2,16,4902,"1,1",0.307692308,0.4446,0.04602
2,18,3980,3980,"1,1",0.346153846,41315,2943,3744,51998,41315,3744,100000,0.41315,0.03744,2,17,3980,"1,1",0.326923077,0.41315,0.03744
2,19,3009,3009,"1,1",0.365384615,38863,2386,3011,55740,38863,3011,100000,0.38863,0.03011,2,18,3009,"1,1",0.346153846,0.38863,0.03011
2,20,2409,2409,"1,1",0.384615385,37057,1783,2389,58771,37057,2389,100000,0.37057,0.02389,2,19,2409,"1,1",0.365384615,0.37057,0.02389
2,21,1780,1780,"1,1",0.403846154,35725,1335,1780,61160,35725,1780,100000,0.35725,0.0178,2,20,1780,"1,1",0.384615385,0.35725,0.0178
2,22,1365,1365,"1,0",0.423076923,34752,943,1342,62963,34752,1342,100000,0.34752,0.01342,2,21,1365,"1,0",0.403846154,0.34752,0.01342
2,23,1437,1437,"1,0",0.442307692,32759,1499,1348,64394,32759,1348,100000,0.32759,0.01348,2,22,1437,"1,0",0.423076923,0.32759,0.01348
2,24,1847,1847,"1,0",0.461538462,30719,1692,1553,66036,30719,1553,100000,0.30719,0.01553,2,23,1847,"1,0",0.442307692,0.30719,0.01553
2,25,2009,2009,"1,0",0.480769231,28561,1841,1706,67892,28561,1706,100000,0.28561,0.01706,2,24,2009,"1,0",0.461538462,0.28561,0.01706
2,26,2122,2122,"1,0",0.5,26358,1922,1896,69824,26358,1896,100000,0.26358,0.01896,2,25,2122,"1,0",0.480769231,0.26358,0.01896
2,27,2177,2177,"1,0",0.519230769,24125,1978,1912,71985,24125,1912,100000,0.24125,0.01912,2,26,2177,"1,0",0.5,0.24125,0.01912
2,28,2161,2161,"1,0",0.538461538,22080,1862,1865,74193,22080,1865,100000,0.2208,0.01865,2,27,2161,"1,0",0.519230769,0.2208,0.01865
2,29,2008,2008,"1,0",0.557692308,20223,1711,1821,76245,20223,1821,100000,0.20223,0.01821,2,28,2008,"1,0",0.538461538,0.20223,0.01821
2,30,1800,1800,"1,0",0.576923077,18704,1430,1643,78223,18704,1643,100000,0.18704,0.01643,2,29,1800,"1,0",0.557692308,0.18704,0.01643
2,31,1539,1539,"1,0",0.596153846,17422,1173,1446,79959,17422,1446,100000,0.17422,0.01446,2,30,1539,"1,0",0.576923077,0.17422,0.01446
2,32,1248,1248,"1,0",0.615384615,16414,933,1179,81474,16414,1179,100000,0.16414,0.01179,2,31,1248,"1,0",0.596153846,0.16414,0.01179
2,33,1009,1009,"1,0",0.634615385,15616,722,944,82718,15616,944,100000,0.15616,0.00944,2,32,1009,"1,0",0.615384615,0.15616,0.00944
2,34,721,721,"1,0",0.653846154,15040,577,720,83663,15040,720,100000,0.1504,0.0072,2,33,721,"1,0",0.634615385,0.1504,0.0072
2,35,576,576,"1,0",0.673076923,14596,445,533,84426,14596,533,100000,0.14596,0.00533,2,34,576,"1,0",0.653846154,0.14596,0.00533
2,36,440,440,"1,0",0.692307692,14267,334,413,84986,14267,413,100000,0.14267,0.00413,2,35,440,"1,0",0.673076923,0.14267,0.00413
2,37,324,324,"1,0",0.711538462,14034,243,332,85391,14034,332,100000,0.14034,0.00332,2,36,324,"1,0",0.692307692,0.14034,0.00332
2,38,243,243,"1,0",0.730769231,13860,174,250,85716,13860,250,100000,0.1386,0.0025,2,37,243,"1,0",0.711538462,0.1386,0.0025
2,39,158,158,"1,0",0.75,13733,143,168,85956,13733,168,100000,0.13733,0.00168,2,38,158,"1,0",0.730769231,0.13733,0.00168
2,40,141,141,"1,0",0.769230769,13626,109,157,86108,13626,157,100000,0.13626,0.00157,2,39,141,"1,0",0.75,0.13626,0.00157
2,41,116,116,"1,0",0.788461538,13550,69,121,86260,13550,121,100000,0.1355,0.00121,2,40,116,"1,0",0.769230769,0.1355,0.00121
2,42,72,72,"1,0",0.807692308,13492,55,67,86386,13492,67,100000,0.13492,0.00067,2,41,72,"1,0",0.788461538,0.13492,0.00067
2,43,55,55,"1,0",0.826923077,13451,41,56,86452,13451,56,100000,0.13451,0.00056,2,42,55,"1,0",0.807692308,0.13451,0.00056
2,44,42,42,"1,0",0.846153846,13413,37,38,86512,13413,38,100000,0.13413,0.00038,2,43,42,"1,0",0.826923077,0.13413,0.00038
2,45,32,32,"1,0",0.865384615,13394,24,26,86556,13394,26,100000,0.13394,0.00026,2,44,32,"1,0",0.846153846,0.13394,0.00026
2,46,24,24,"1,0",0.884615385,13370,24,26,86580,13370,26,100000,0.1337,0.00026,2,45,24,"1,0",0.865384615,0.1337,0.00026
2,47,14,14,"1,0",0.903846154,13359,21,17,86603,13359,17,100000,0.13359,0.00017,2,46,14,"1,0",0.884615385,0.13359,0.00017
2,48,19,19,"1,0",0.923076923,13347,14,16,86623,13347,16,100000,0.13347,0.00016,2,47,19,"1,0",0.903846154,0.13347,0.00016
2,49,17,17,"1,0",0.942307692,13339,5,11,86645,13339,11,100000,0.13339,0.00011,2,48,17,"1,0",0.923076923,0.13339,0.00011
2,50,7,7,"1,0",0.961538462,13329,8,7,86656,13329,7,100000,0.13329,0.00007,2,49,7,"1,0",0.942307692,0.13329,0.00007
2,51,7,7,"1,0",0.980769231,13325,5,5,86665,13325,5,100000,0.13325,0.00005,2,50,7,"1,0",0.961538462,0.13325,0.00005
2,52,6,6,"1,0",1,13319,5,6,86670,13319,6,100000,0.13319,0.00006,2,51,6,"1,0",0.980769231,0.13319,0.00006
2,53,3,3,"1,0",1.019230769,13314,7,1,86678,13314,1,100000,0.13314,0.00001,2,52,3,"1,0",1,0.13314,0.00001
2,54,6,6,"1,0",1.038461538,13313,2,4,86681,13313,4,100000,0.13313,0.00004,2,53,6,"1,0",1.019230769,0.13313,0.00004
2,55,4,4,"1,0",1.057692308,13311,0,2,86687,13311,2,100000,0.13311,0.00002,2,54,4,"1,0",1.038461538,0.13311,0.00002
2,56,0,0,"1,0",1.076923077,13311,0,1,86688,13311,1,100000,0.13311,0.00001,2,55,0,"1,0",1.057692308,0.13311,0.00001
2,57,0,0,"1,0",1.093406593,13311,0,0,86689,13311,0,100000,0.13311,0.00001,2,55,0,"1,0",1.071428571,0.13311,0.00001
3,0,-1,-1,"1,0",0,99999,0,1,0,99999,1,100000,0.99999,0.00001,3,-1,-1,"1,0",-1,0.99999,0.00001
3,1,1,1,"1,0",0.019230769,99998,0,2,0,99998,2,100000,0.99998,0.00002,3,1,1,"1,0",0.019230769,0.99998,0.00002
3,2,4,4,"1,0",0.038461538,99991,3,4,2,99991,4,100000,0.99991,0.00004,3,2,4,"1,0",0.038461538,0.99991,0.00004
3,3,5,5,"1,0",0.057692308,99979,10,4,7,99979,4,100000,0.99979,0.00004,3,3,5,"1,0",0.057692308,0.99979,0.00004
3,4,8,8,"1,0",0.076923077,99970,11,6,13,99970,6,100000,0.9997,0.00006,3,4,8,"1,0",0.076923077,0.9997,0.00006
3,5,14,14,"1,0",0.096153846,99949,18,12,21,99949,12,100000,0.99949,0.00012,3,5,14,"1,0",0.096153846,0.99949,0.00012
3,6,20,20,"1,0",0.115384615,99923,24,17,36,99923,17,100000,0.99923,0.00017,3,6,20,"1,0",0.115384615,0.99923,0.00017
3,7,35,35,"1,0",0.134615385,99874,38,27,61,99874,27,100000,0.99874,0.00027,3,7,35,"1,0",0.134615385,0.99874,0.00027
3,8,47,47,"1,0",0.153846154,99801,64,42,93,99801,42,100000,0.99801,0.00042,3,8,47,"1,0",0.153846154,0.99801,0.00042
3,9,107,107,"1,0",0.173076923,99649,109,90,152,99649,90,100000,0.99649,0.0009,3,9,107,"1,0",0.173076923,0.99649,0.0009
3,10,167,167,"1,0",0.192307692,99400,191,129,280,99400,129,100000,0.994,0.00129,3,10,167,"1,0",0.192307692,0.994,0.00129
3,11,278,278,"1,0",0.211538462,99016,297,221,466,99016,221,100000,0.99016,0.00221,3,11,278,"1,0",0.211538462,0.99016,0.00221
3,12,470,470,"1,0",0.230769231,98320,523,379,778,98320,379,100000,0.9832,0.00379,3,12,470,"1,0",0.230769231,0.9832,0.00379
3,13,816,816,"1,0",0.25,97159,868,642,1331,97159,642,100000,0.97159,0.00642,3,13,816,"1,0",0.25,0.97159,0.00642
3,14,1280,1280,"1,0",0.269230769,95395,1352,1034,2219,95395,1034,100000,0.95395,0.01034,3,14,1280,"1,0",0.269230769,0.95395,0.01034
3,15,2097,2097,"1,0",0.288461538,92484,2166,1709,3641,92484,1709,100000,0.92484,0.01709,3,15,2097,"1,0",0.288461538,0.92484,0.01709
3,16,3348,3348,"1,0",0.307692308,87928,3374,2719,5979,87928,2719,100000,0.87928,0.02719,3,16,3348,"1,0",0.307692308,0.87928,0.02719
3,17,5121,5121,"1,0",0.326923077,81190,4991,4156,9663,81190,4156,100000,0.8119,0.04156,3,17,5121,"1,0",0.326923077,0.8119,0.04156
3,18,7144,7144,"1,0",0.346153846,72563,6474,5823,15140,72563,5823,100000,0.72563,0.05823,3,18,7144,"1,0",0.346153846,0.72563,0.05823
3,19,9100,9100,"1,0",0.365384615,62174,7763,7480,22583,62174,7480,100000,0.62174,0.0748,3,19,9100,"1,0",0.365384615,0.62174,0.0748
3,20,10089,10089,"1,0",0.384615385,51710,8138,8630,31522,51710,8630,100000,0.5171,0.0863,3,20,10089,"1,0",0.384615385,0.5171,0.0863
3,21,10117,10117,"1,0",0.403846154,41880,7851,9029,41240,41880,9029,100000,0.4188,0.09029,3,21,10117,"1,0",0.403846154,0.4188,0.09029
3,22,9274,9274,"1,0",0.423076923,33891,6566,8487,51056,33891,8487,100000,0.33891,0.08487,3,22,9274,"1,0",0.423076923,0.33891,0.08487
3,23,7421,7421,"1,0",0.442307692,28156,4880,7176,59788,28156,7176,100000,0.28156,0.07176,3,23,7421,"1,0",0.442307692,0.28156,0.07176
3,24,5357,5357,"1,0",0.461538462,24089,3590,5508,66813,24089,5508,100000,0.24089,0.05508,3,24,5357,"1,0",0.461538462,0.24089,0.05508
3,25,3874,3874,"1,0",0.480769231,21439,2366,4110,72085,21439,4110,100000,0.21439,0.0411,3,25,3874,"1,0",0.480769231,0.21439,0.0411
3,26,2555,2555,"1,0",0.5,19631,1619,2815,75935,19631,2815,100000,0.19631,0.02815,3,26,2555,"1,0",0.5,0.19631,0.02815
3,27,1677,1677,"1,0",0.519230769,18598,975,1871,78556,18598,1871,100000,0.18598,0.01871,3,27,1677,"1,0",0.519230769,0.18598,0.01871
3,28,1043,1043,"1,0",0.538461538,17918,612,1170,80300,17918,1170,100000,0.17918,0.0117,3,28,1043,"1,0",0.538461538,0.17918,0.0117
3,29,625,625,"1,0",0.557692308,17567,338,721,81374,17567,721,100000,0.17567,0.00721,3,29,625,"1,0",0.557692308,0.17567,0.00721
3,30,352,352,"1,0",0.576923077,17336,217,431,82016,17336,431,100000,0.17336,0.00431,3,30,352,"1,0",0.576923077,0.17336,0.00431
3,31,219,219,"1,0",0.596153846,17201,133,259,82407,17201,259,100000,0.17201,0.00259,3,31,219,"1,0",0.596153846,0.17201,0.00259
3,32,136,136,"1,0",0.615384615,17128,70,169,82633,17128,169,100000,0.17128,0.00169,3,32,136,"1,0",0.615384615,0.17128,0.00169
3,33,82,82,"1,0",0.634615385,17073,43,105,82779,17073,105,100000,0.17073,0.00105,3,33,82,"1,0",0.634615385,0.17073,0.00105
3,34,50,50,"1,0",0.653846154,17039,27,64,82870,17039,64,100000,0.17039,0.00064,3,34,50,"1,0",0.653846154,0.17039,0.00064
3,35,28,28,"1,0",0.673076923,17023,15,40,82922,17023,40,100000,0.17023,0.0004,3,35,28,"1,0",0.673076923,0.17023,0.0004
3,36,17,17,"1,0",0.692307692,17009,12,23,82956,17009,23,100000,0.17009,0.00023,3,36,17,"1,0",0.692307692,0.17009,0.00023
3,37,15,15,"1,0",0.711538462,17000,6,16,82978,17000,16,100000,0.17,0.00016,3,37,15,"1,0",0.711538462,0.17,0.00016
3,38,6,6,"1,0",0.730769231,16997,3,10,82990,16997,10,100000,0.16997,0.0001,3,38,6,"1,0",0.730769231,0.16997,0.0001
3,39,3,3,"1,0",0.75,16996,1,5,82998,16996,5,100000,0.16996,0.00005,3,39,3,"1,0",0.75,0.16996,0.00005
3,40,2,2,"1,0",0.769230769,16994,1,4,83001,16994,4,100000,0.16994,0.00004,3,40,2,"1,0",0.769230769,0.16994,0.00004
3,41,1,1,"1,0",0.788461538,16994,0,0,83006,16994,0,100000,0.16994,0,3,40,1,"1,0",0.785714286,0.16994,0
4,0,-1,-1,"1,0",0,99999,0,1,0,99999,1,100000,0.99999,0.00001,4,-1,-1,"1,0",-1,0.99999,0.00001
4,1,2,2,"1,0",0.019230769,99992,5,2,1,99992,2,100000,0.99992,0.00002,4,1,2,"1,0",0.019230769,0.99992,0.00002
4,2,5,5,"1,0",0.038461538,99986,6,3,5,99986,3,100000,0.99986,0.00003,4,2,5,"1,0",0.038461538,0.99986,0.00003
4,3,4,4,"1,0",0.057692308,99975,13,2,10,99975,2,100000,0.99975,0.00002,4,3,4,"1,0",0.057692308,0.99975,0.00002
4,4,20,20,"1,0",0.076923077,99949,19,14,18,99949,14,100000,0.99949,0.00014,4,4,20,"1,0",0.076923077,0.99949,0.00014
4,5,24,24,"1,0",0.096153846,99908,36,24,32,99908,24,100000,0.99908,0.00024,4,5,24,"1,0",0.096153846,0.99908,0.00024
4,6,53,53,"1,0",0.115384615,99833,58,42,67,99833,42,100000,0.99833,0.00042,4,6,53,"1,0",0.115384615,0.99833,0.00042
4,7,105,105,"1,0",0.134615385,99648,138,76,138,99648,76,100000,0.99648,0.00076,4,7,105,"1,0",0.134615385,0.99648,0.00076
4,8,218,218,"1,0",0.153846154,99344,224,175,257,99344,175,100000,0.99344,0.00175,4,8,218,"1,0",0.153846154,0.99344,0.00175
4,9,375,375,"1,1",0.173076923,98730,463,298,509,98730,298,100000,0.9873,0.00298,4,9,375,"1,1",0.173076923,0.9873,0.00298
4,10,453,453,"1,1",0.192307692,98476,264,350,910,98476,350,100000,0.98476,0.0035,4,10,453,"1,1",0.192307692,0.98476,0.0035
