Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-94061791,144862864,8651444,7547351,150947.02,8651444,5505225,209370,207011,3,8606937,1085929,7547351,8633280,4881872.265,83327.32736,1301.060604,81518.09511,2087.529396,2087.365549,0.082197802,0.017069633,0.015571606,0.023412736,0.0223464,7.59899E-07,0.636492472,0.022771539,0.021429609,2.71706E-07,0.035444213,0.098908282
Base,364,0.05,1,5000,-118329627,824184557,10861049,9719137,194382.74,10861049,7113185,352231,1165496,2737,10791307,1116733,9719137,10835870,4881448.231,85716.03797,1746.963022,83331.24,2845.710604,9184.701593,21.98307692,0.017560914,0.02036902,0.028523133,0.107229456,0.000220301,0.655173698,0.02796107,0.107395948,0.00021647,0.044501552,0.078159943
Base,364,0.05,1,5000,-74142916,1894397624,6917174,4971176,99423.52,6917174,5008641,189943,139713,574,6846134,1920903,4971176,6892079,4878869.711,63671.8339,1867.677637,61397.80819,1857.908846,1465.163516,5.926428571,0.013051068,0.029405018,0.023862708,0.016641258,6.79378E-05,0.725236974,0.022969743,0.014756286,6.07069E-05,0.028356282,0.157790416
Base,364,0.05,1,5000,-88199664,97753660,8179317,6406494,128129.88,8179317,5774850,405225,647951,3063,8109995,1747757,6406494,8154251,4877224.596,69486.74544,2441.118352,66565.23527,3433.577253,5483.113901,25.78807692,0.014247008,0.035027666,0.049320502,0.080614487,0.000413264,0.706647193,0.049332508,0.08081328,0.00041355,0.033540236,0.118361424
Base,364,0.05,1,5000,-54706903,290829365,5038958,4317323,86346.46,5038958,3432805,263214,333230,8,4996396,706901,4317323,5024224,4881873.839,57802.5739,2587.422637,54919.14687,3083.877967,3822.420714,0.109010989,0.011842733,0.04470816,0.047668026,0.063581047,1.06461E-06,0.681925906,0.046930954,0.06355971,9.00822E-07,0.020647187,0.078517478
Base,364,0.05,1,5000,-97148021,412037716,8990374,7244281,144885.62,8990374,6317824,405915,194106,1412,8922274,1721714,7244281,8965995,4878902.558,97798.02418,3590.825165,93679.12467,4446.04967,2186.055989,15.55659341,0.020045334,0.036718122,0.044760062,0.021633987,0.000158328,0.702756889,0.044522848,0.02094951,0.000155539,0.036854268,0.177743094
Base,364,0.05,1,5000,-156992601,2020707145,14395923,13033371,260667.42,14395923,10393208,857465,237538,4,14328840,1340401,13033371,14373772,4879412.563,136041.3718,3173.943681,132021.9801,8113.388901,2348.230165,0.034340659,0.027880155,0.023365395,0.061018761,0.018580796,2.94437E-07,0.721967984,0.060933791,0.017711149,3.16414E-07,0.059006273,0.117772555
Base,364,0.05,1,5000,-118829581,74667774,10902665,9802931,196058.62,10902665,7069117,470468,192493,0,10839809,1073183,9802931,10876114,4880427.78,79443.76857,4401.713681,74401.77687,3506.435165,1490.457363,0,0.016278633,0.055443211,0.03902121,0.016603262,0,0.648627821,0.038305693,0.015770035,0,0.044680151,0.078995953
Base,364,0.05,1,5000,-127779798,986439685,11716895,10610848,212216.96,11716895,8440881,411849,1175383,8628,11661749,1089873,10610848,11700721,4876610.381,84766.35956,2416.682143,81661.58995,2996.181538,8445.257912,62.60538462,0.017382272,0.028481198,0.034483422,0.099990613,0.000776238,0.720424211,0.034371511,0.100733927,0.000770342,0.048053582,0.078295452
Base,364,0.05,1,5000,-127779798,986439685,11716895,10610848,212216.96,11716895,8440881,411849,1175383,8628,11661749,1089873,10610848,11700721,4876610.381,84766.35956,2416.682143,81661.58995,2996.181538,8445.257912,62.60538462,0.017382272,0.028481198,0.034483422,0.099990613,0.000776238,0.720424211,0.034371511,0.100733927,0.000770342,0.048053582,0.078295452
Base,364,0.05,1,5000,-110122880,2064132329,10129697,8825910,176518.2,10129697,6323690,1250103,536304,0,10054452,1272537,8825910,10098447,4876602.21,82333.83632,1961.537088,79777.43725,10133.11615,4402.001209,0.001043956,0.016883095,0.023743839,0.121436525,0.051731168,1.08334E-08,0.624373479,0.121886295,0.051364938,0,0.041543149,0.098822802
Base,364,0.05,1,5000,-84590556,384748273,7824243,6348126,126962.52,7824243,5650443,397750,174795,33,7756428,1450291,6348126,7798417,4880695.718,84265.81313,3095.192527,80711.0361,4325.114176,2015.492582,0.38010989,0.017266167,0.036714993,0.049983869,0.020510346,3.46095E-06,0.722446195,0.049590174,0.019269257,3.23137E-06,0.032063242,0.137986682
Base,364,0.05,1,5000,-155041031,1326104558,14293748,12103551,242071.02,14293748,9088682,759031,1106712,3668,14213446,2158641,12103551,14262192,4880087.545,170874.9952,5792.162857,164243.5018,9183.137747,13214.36648,43.94164835,0.035014339,0.033939062,0.053742248,0.075450905,0.000249636,0.635945883,0.053117085,0.075585964,0.00024859,0.058578742,0.178180868
Base,364,0.05,1,5000,-117967313,1970454927,10818776,9779553,195591.06,10818776,7641523,298457,400987,332,10772504,1021458,9779553,10801011,4879682.292,140076.7754,5514.250604,133927.109,3912.077802,5221.134835,4.551703297,0.028706089,0.039367983,0.02805476,0.037277501,3.28393E-05,0.70632019,0.027721554,0.037070415,3.08994E-05,0.044342084,0.098460785
Base,364,0.05,1,5000,-103212611,2104619788,9526619,7946421,158928.42,9526619,6328432,367559,281509,2490,9470367,1559522,7946421,9505943,4875115.97,134778.8182,4042.617363,130176.6507,5307.77544,4055.641538,34.97824176,0.027646135,0.029992797,0.038665372,0.029644466,0.000254945,0.664301042,0.037918323,0.029136685,0.000255925,0.039082684,0.158665064
Base,364,0.05,1,5000,-97866349,12210032,9061985,7246499,144929.98,9061985,6494098,107666,145237,371,8999327,1793257,7246499,9039756,4878384.615,111803.6659,4339.584396,106931.7806,1409.313516,1949.706813,5.014340659,0.022918307,0.038801753,0.011614062,0.016323662,4.09411E-05,0.716720045,0.01100503,0.015077175,3.74588E-05,0.037151392,0.177419371
Base,364,0.05,1,5000,-121445058,35910853,11136636,10078698,201573.96,11136636,7029262,698224,1362981,7424,11071434,1030385,10078698,11109083,4878471.325,90176.33648,5182.902637,84339.35769,5634.05489,10987.6,60.21604396,0.018484643,0.057449297,0.061576301,0.121877009,0.000685939,0.631308463,0.06181379,0.122487012,0.000682091,0.045656591,0.078006327
