Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-92753655,118013881,8659807,6155585,123111.7,8659807,5720609,886973,111330,1548,8582998,2470580,6155585,8626165,4878507.909,61664.51176,1238.32522,59917.52297,6252.731593,844.496044,11.99598901,0.012640403,0.020003606,0.100687606,0.011606011,0.000148634,0.660706469,0.101705464,0.010998626,0.000136569,0.035502633,0.286405372
Base,364,0.05,1,5000,-75470221,2131072783,6960466,5865561,117311.22,6960466,4841129,365455,111050,8,6923992,1083215,5865561,6948776,4880997.119,42713.10879,620.4295055,41683.78313,2223.451923,691.3307143,0.029065934,0.008752359,0.014384046,0.048931522,0.012681409,3.82475E-07,0.695489494,0.049543451,0.012609564,6.33648E-07,0.02852409,0.155885727
Base,364,0.05,1,5000,-98035000,448569134,9317639,4858610,97172.2,9317639,6389462,338813,256319,21,9238913,4429144,4858610,9287754,4877389.289,90464.29775,1950.794231,87966.29236,3290.516264,2500.871374,0.247582418,0.018547958,0.021545515,0.03568123,0.028505971,2.66606E-06,0.685747615,0.035688132,0.028362651,2.17924E-06,0.038208147,0.476879986
Base,364,0.05,1,5000,-95140219,1765274382,8817982,6960399,139207.98,8817982,5765193,949154,267846,1,8734535,1826559,6960399,8786958,4879105.709,57000.07379,1893.760604,54588.40489,6122.903187,1754.570989,0.005164835,0.011683629,0.033173662,0.108514955,0.028457403,6.01047E-08,0.654170821,0.10906411,0.028286518,7.18672E-08,0.03614868,0.207871598
Base,364,0.05,1,5000,-116464132,619188167,11145642,5007712,100154.24,11145642,7477375,427412,536180,7,11071956,6109905,5007712,11117617,4882480.828,116133.5692,3167.133297,112311.8902,4423.331374,5551.546868,0.073791209,0.023785477,0.027273354,0.038094928,0.046998209,6.62206E-07,0.670880204,0.038354314,0.047306491,6.32774E-07,0.045654652,0.54956966
Base,364,0.05,1,5000,-113292528,501867133,10503922,8253308,165066.16,10503922,7383617,673992,73943,12,10441582,2227857,8253308,10481165,4881080.423,65387.90319,3801.282253,60969.72291,4161.380714,523.0323077,0.094120879,0.013396286,0.058116449,0.063633566,0.007385668,1.32335E-06,0.702977074,0.064142686,0.006550164,1.02985E-06,0.043039214,0.212558146
Base,364,0.05,1,5000,-160534385,1745773995,15099959,9534795,190695.9,15099959,10301303,908254,298602,546,15016382,5532006,9534795,15066801,4882033.935,139324.411,6472.349396,131965.3376,8315.140165,2791.887418,6.175164835,0.028536371,0.046492046,0.059438186,0.019026179,4.39053E-05,0.682277693,0.059914886,0.018756647,3.56569E-05,0.06185482,0.367165266
Base,364,0.05,1,5000,-136523118,1491595878,12627278,10250338,205006.76,12627278,8623048,969432,234428,227,12546952,2347332,10250338,12597670,4877411.712,109031.2706,5629.744505,102659.9395,8320.124945,2116.131648,2.373956044,0.022354399,0.051639939,0.076324738,0.018977704,2.01186E-05,0.682927669,0.076783131,0.018218061,1.66276E-05,0.051778858,0.186330647
Base,364,0.05,1,5000,-123444069,1780671942,11797374,5470329,109406.58,11797374,7947400,694435,589770,2347,11698605,6284604,5470329,11754933,4881380.531,105759.7927,4375.471813,100691.5089,6189.995,5238.739945,22.86879121,0.021666892,0.041362438,0.058097352,0.051286241,0.000221438,0.673668455,0.058438858,0.051754503,0.000202626,0.048337849,0.534635459
Base,364,0.05,1,5000,-160229204,194283618,14731522,12913984,258279.68,14731522,10062872,626001,322082,4,14667293,1794484,12913984,14708468,4879372.511,101474.7427,6794.394231,93815.18055,4332.111374,2224.058791,0.054505495,0.02079658,0.066995972,0.043527011,0.022178476,6.27031E-07,0.68312231,0.043258432,0.022118474,3.08269E-07,0.06038285,0.122003461
Base,364,0.05,1,5000,-119370913,2099631844,11136746,8003453,160069.06,11136746,7396117,1152676,230179,798,11037255,3095888,8003453,11099341,4878185.577,87857.65269,4781.265495,82422.34236,9026.266868,1892.521209,6.60478022,0.018010469,0.054435504,0.103856655,0.020582839,6.44407E-05,0.664317466,0.104650899,0.019902956,6.13921E-05,0.045659499,0.278925388
Base,364,0.05,1,5000,-149332384,2086591245,13942539,9906994,198139.88,13942539,9786272,861906,106115,187,13858848,4005064,9906994,13912058,4878045.924,100148.657,4321.421813,95008.43665,6151.449341,864.9349451,1.575164835,0.020530399,0.043152889,0.061225392,0.008480673,1.51083E-05,0.701894801,0.061598733,0.007504208,1.28664E-05,0.05716426,0.287884366
Base,364,0.05,1,5000,-123535542,403181274,11443770,9097842,181956.84,11443770,7712537,954202,184198,2190,11372759,2315592,9097842,11413434,4879170.818,117398.3943,1645.484505,115080.8446,9723.458571,1908.693407,23.90445055,0.024061016,0.014036817,0.082167784,0.016132173,0.000202247,0.673990622,0.082790061,0.015980612,0.000189969,0.046908425,0.202883024
Base,364,0.05,1,5000,-126565479,837358906,12396033,2605149,52102.98,12396033,8327754,731386,381140,15,12333566,9764295,2605149,12369444,4884295.97,132703.561,4847.673132,127127.9118,7795.712198,4022.420824,0.123791209,0.027169033,0.036531256,0.058740036,0.029109222,9.154E-07,0.671813052,0.059017816,0.029542129,1.16436E-06,0.050756771,0.789388351
Base,364,0.05,1,5000,-119239029,306394288,11154245,7696579,153931.58,11154245,7282708,852626,347122,181,11067951,3423035,7696579,11119614,4880691.155,105582.7432,2612.046154,102315.7214,8055.138791,3366.481868,2.188186813,0.021632913,0.02473874,0.076262902,0.03215819,2.02475E-05,0.652935356,0.076413314,0.031405238,1.57834E-05,0.045707636,0.307837574
Base,364,0.05,1,5000,-122417369,421980485,11349596,8921409,178428.18,11349596,7764661,1185809,69583,515,11284980,2403445,8921409,11324854,4880617.59,78725.04956,2349.63489,75708.80412,8164.201319,541.3656044,3.724285714,0.016130987,0.029806575,0.104306884,0.006153372,4.18519E-05,0.684179744,0.105109806,0.005520771,4.00572E-05,0.046510265,0.21222746
Base,364,0.05,1,5000,-102805578,762436058,9512323,7682348,153646.96,9512323,6493684,465583,61630,21,9469965,1813969,7682348,9496317,4883564.709,65690.50346,1289.946099,63841.91187,3208.296593,454.5568132,0.148186813,0.013451814,0.019617622,0.0485814,0.006345212,2.14155E-06,0.6826533,0.04872386,0.005964765,2.06975E-06,0.038956482,0.19101816
Base,364,0.05,1,5000,-119762219,115904353,11070237,9059849,181196.98,11070237,7371421,1097242,527605,4096,11006729,1985643,9059849,11045492,4882212.53,103386.6668,4646.666484,98089.94022,10175.47819,4897.653571,38.45725275,0.021177149,0.044932564,0.099411873,0.048164634,0.00034356,0.665905135,0.100117123,0.04846318,0.000341348,0.045350188,0.179769539
Base,364,0.05,1,5000,-80926294,606818053,7548971,5436584,108731.68,7548971,5352705,397479,83062,1006,7487206,2088722,5436584,7525306,4880162.16,58190.09703,1372.550934,56374.11115,3050.30511,674.6288462,7.799615385,0.011925193,0.023510133,0.050501641,0.009243309,9.90666E-05,0.70930758,0.050799039,0.008829901,9.86073E-05,0.030940554,0.277559743
