Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,tStar | G-A,tStar | G-B,b | G-A,b | G-B,min | G-A,min | G-B,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
20,753947963,0,1,-1,1000,0.028571429,0.028571429,3.249785975,42.85681089,0.18005204,0.03123019,0.561018108,0.968679906,1,0.99990297,0.986078828,0.986078828,0.592619462,0.592619462,0.592619462,0.592619462,2.91231E-05,9.92573E-05,0.8288772,0.8288772,0,3.373553441,3.373226107,3.326589622,3.326589622,3.373553441,3.373226107,3.326589622,3.326589622,0.018216758,0.222629072,0.031178986,0.014960827,0.981783242,0.777370928,0.953860187,0.985039173,4878588,4789715.943,18872.60423,616.8919382,296.0074978,0,65898.91294,2154.048674,1033.591977,0,3.511438,0.905677525,0.014431834,0.033860268,0.284783613,1.104145761,69.29126059,29.53313903
21,485424797,0,1,-1,1000,0.028571429,0.028571429,12.85694208,31.8129143,0.111519456,0.104820855,0.995806437,0.783477343,1,0.999934394,0.971977666,0.971977666,0.411771683,0.411771683,0.411771683,0.411771683,4.06086E-05,2.6374E-05,0.868895369,0.868895369,0,5.794749267,5.794369095,5.63236687,5.63236687,5.794749267,5.794369095,5.63236687,5.63236687,0.018197204,0.265105189,0.034956312,0.02878006,0.981802796,0.734894811,0.936263628,0.97121994,4878588,4789811.338,22035.10857,822.7021847,677.3431466,0,61083.25146,2280.602533,1877.654544,0,0.397247178,0.987130414,0.013917644,0.01453966,2.517324367,1.013037372,71.85124317,68.77740096
22,1771236280,0,1,-1,1000,0.028571429,0.028571429,13.05814363,41.71953721,0.164954591,0.134100321,0.943593998,0.791449424,1,0.999872922,0.948308106,0.948308106,0.485851537,0.485851537,0.485851537,0.485851537,4.47642E-05,1.57429E-05,0.946294762,0.946294762,0,3.960187256,3.959684004,3.755477677,3.755477677,3.960187256,3.959684004,3.755477677,3.755477677,0.017720493,0.091222165,0.002968426,0.003559014,0.982279507,0.908777835,0.993472559,0.996440986,4878588,4792137.016,7834.768932,23.40974102,28.06726135,0,78051.91161,233.2136471,279.61302,0,0.933817534,0.973340561,0.019165537,0.015460818,1.070873017,1.027389631,52.17698966,64.67962879
23,217902370,0,1,-1,1000,0.028571429,0.028571429,5.322349593,40.25567678,0.190756942,0.152985259,0.015697068,0.545505277,1,0.999804132,0.916430204,0.916430204,0.578219979,0.578219979,0.578219979,0.578219979,5.86567E-05,3.19052E-05,0.819350409,0.819350409,0,2.813914532,2.813363376,2.578756269,2.578756269,2.813914532,2.813363376,2.578756269,2.578756269,0.027864775,0.290534771,0.009288899,0.01893243,0.972135225,0.709465229,0.971778672,0.98106757,4878588,4742647.244,38380.90041,366.869847,747.7460934,0,93723.42678,895.870052,1825.942734,0,3.530285454,1.066707647,0.037973602,0.021622402,0.283263213,0.937463983,26.33408329,46.24833083
24,747987228,0,1,-1,1000,0.028571429,0.028571429,26.96925036,23.00756729,0.115172999,0.03728285,0.985902147,0.503069709,1,0.99907161,0.866964853,0.866964853,0.452617788,0.452617788,0.452617788,0.452617788,7.15012E-05,8.23959E-06,0.911934602,0.911934602,0,3.951523253,3.947854698,3.425831774,3.425831774,3.951523253,3.947854698,3.425831774,3.425831774,0.017431883,0.106589125,0.039225734,0.012280907,0.982568117,0.893410875,0.948493359,0.987719093,4878588,4793545.024,8597.766456,355.5678054,111.3222033,0,72064.93171,2980.305379,933.0826818,0,0.772630111,1.118513317,0.01553958,0.007644503,1.294280388,0.894043893,64.35180412,130.8129469
25,1993288291,0,1,-1,1000,0.028571429,0.028571429,33.30252378,9.626311576,0.164945687,0.116383942,0.943178999,0.355677967,1,0.996597746,0.994184063,0.994184063,0.585164629,0.585164629,0.585164629,0.585164629,5.69879E-05,7.74241E-05,0.857333306,0.857333306,0,2.489826914,2.48135589,2.475346237,2.475346237,2.489826914,2.48135589,2.475346237,2.475346237,0.02286553,0.183411911,0.023821572,0.026808353,0.97713447,0.816588089,0.949370074,0.973191647,4878588,4767036.5,19423.99188,487.3863598,548.4955278,0,86479.66386,2169.945747,2442.016511,0,4.269004015,1.290098572,0.020655802,0.015698788,0.234246676,0.775134568,48.41254879,63.69918434
26,781208457,0,1,-1,1000,0.028571429,0.028571429,6.204841863,4.287306557,0.129060805,0.137320284,0.742540649,0.718105961,1,0.999099249,0.999471255,0.999471255,0.605413896,0.605413896,0.605413896,0.605413896,3.0779E-05,8.19705E-05,0.844297391,0.844297391,0,3.970223595,3.966647413,3.968124359,3.968124359,3.970223595,3.966647413,3.968124359,3.968124359,0.017017636,0.281127454,0.025009818,0.032722695,0.982982364,0.718872546,0.942267486,0.967277305,4878588,4795565.965,21992.30946,583.723486,763.7402908,0,56236.6545,1492.64251,1952.964464,0,1.947171255,0.861618562,0.035443999,0.037695379,0.513565511,1.16060638,28.2135208,26.52845089
27,177096645,0,1,-1,1000,0.028571429,0.028571429,3.730776021,30.69268026,0.077497594,0.130348699,0.773347179,0.233277134,1,0.993886286,0.942709265,0.942709265,0.588161233,0.588161233,0.588161233,0.588161233,4.5586E-05,2.00034E-05,0.826430382,0.826430382,0,3.064817798,3.046080379,2.889232132,2.889232132,3.064817798,3.046080379,2.889232132,2.889232132,0.024335743,0.224711194,0.008705799,0.014366814,0.975664257,0.775288806,0.976927387,0.985633186,4878588,4759863.936,26063.08063,232.2587475,383.2868622,0,89921.70917,801.3290464,1322.39969,0,2.038200267,1.236064412,0.035462632,0.025725958,0.490628922,0.809019328,28.19869689,38.87124381
28,974284275,0,1,-1,1000,0.028571429,0.028571429,31.72826797,35.5231053,0.170448333,0.157638683,0.889078647,0.038767083,1,0.995281762,0.910940657,0.910940657,0.547791579,0.547791579,0.547791579,0.547791579,3.80752E-05,4.52676E-05,0.912373516,0.912373516,0,2.870335483,2.856792557,2.614705292,2.614705292,2.870335483,2.856792557,2.614705292,2.614705292,0.02798959,0.333938439,0.039526557,0.014309856,0.97201041,0.666061561,0.946163588,0.985690144,4878588,4742038.324,43144.28913,1802.378798,652.5177691,0,86054.04219,3594.959709,1301.488395,0,2.159914933,1.156642493,0.026179726,0.008505021,0.462981196,0.864571383,38.1974971,117.5776018
29,1819652320,0,1,-1,1000,0.028571429,0.028571429,6.063245898,26.71001552,0.159367358,0.097824536,0.022763393,0.893822046,1,0.999111151,0.990130108,0.990130108,0.498294008,0.498294008,0.498294008,0.498294008,8.43732E-05,6.05829E-05,0.983355274,0.983355274,0,3.46810333,3.465020709,3.433873526,3.433873526,3.46810333,3.465020709,3.433873526,3.433873526,0.027546065,0.16479651,0.021483922,0.015690557,0.972453935,0.83520349,0.962825521,0.984309443,4878588,4744202.1,21323.04913,475.7899574,347.488214,0,108067.125,2411.346167,1761.101427,0,0.942271866,1.422308662,0.015617922,0.015911401,1.061264839,0.703082268,64.02900328,62.8480179
