Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
65,628227402,0,1,-1,1000,0.05,0.05,1,0.90060807,0.996523605,0.885453711,0.531986281,0.531986281,0.531986281,0.531986281,5.29013E-07,5.4503E-06,0.958065501,0.958065501,0,1.587717566,1.429911252,1.582198033,1.40585041,1.587717566,1.429911252,1.582198033,1.40585041,0.022971447,0.011165905,0.014999998,0.014999998,0.977028553,0.988834095,0.970000004,0.985000002,10000000,9770285.532,2488.020906,38.47454509,38.47454509,0,220335.014,3407.242042,3407.242042,0,6.708328338,1.792112311,0.015059792,0.004794455,0.149068434,0.558000743,66.40197923,208.5742669
66,122420927,0,1,-1,1000,0.05,0.05,1,0.927114142,0.927835662,0.724297115,0.515736701,0.515736701,0.515736701,0.515736701,1.27108E-06,4.43355E-06,0.841606224,0.841606224,0,1.94492084,1.803163616,1.804566914,1.408700554,1.94492084,1.803163616,1.804566914,1.408700554,0.019132608,0.019230135,0.015618993,0.015618993,0.980867392,0.980769865,0.968762014,0.984381007,10000000,9808673.916,3564.294805,57.46581169,57.46581169,0,181785.1473,2930.854941,2930.854941,0,3.499980744,1.698896784,0.011384598,0.014653313,0.285715858,0.588617278,87.83796878,68.2439507
67,1017955201,0,1,-1,1000,0.05,0.05,1,0.953052789,0.935188933,0.828838081,0.50976427,0.50976427,0.50976427,0.50976427,7.59673E-07,5.47195E-06,0.836713332,0.836713332,0,1.67724957,1.598507381,1.568545235,1.390168314,1.67724957,1.598507381,1.568545235,1.390168314,0.025615741,0.00267072,0.012146608,0.012146608,0.974384259,0.99732928,0.975706785,0.987853392,10000000,9743842.595,667.5050032,8.309792959,8.309792959,0,249267.0134,3103.133704,3103.133704,0,3.051316743,2.103912205,0.014822426,0.015800836,0.327727366,0.475305004,67.46533981,63.287792
68,1072778257,0,1,-1,1000,0.05,0.05,1,0.966496757,0.897902958,0.868984481,0.529989293,0.529989293,0.529989293,0.529989293,1.48762E-06,3.19746E-06,0.923414621,0.923414621,0,1.816946978,1.756073362,1.631442066,1.578898728,1.816946978,1.756073362,1.631442066,1.578898728,0.021488884,0.012299818,0.012021742,0.012021742,0.978511116,0.987700182,0.975956516,0.987978258,10000000,9785111.157,2579.544542,31.77459024,31.77459024,0,207142.6223,2551.563595,2551.563595,0,7.859988892,1.331000225,0.011637124,0.004317372,0.127226643,0.751314674,85.93188743,231.6223789
69,1054947485,0,1,-1,1000,0.05,0.05,1,0.883155771,0.958475339,0.801645014,0.648911622,0.648911622,0.648911622,0.648911622,7.93378E-07,4.21755E-06,0.924953817,0.924953817,0,1.80835925,1.597062907,1.733267746,1.449662176,1.80835925,1.597062907,1.733267746,1.449662176,0.024393301,0.018760342,0.014705687,0.014705687,0.975606699,0.981239658,0.970588626,0.985294313,10000000,9756066.99,4441.672509,67.29714683,67.29714683,0,232316.9323,3519.905323,3519.905323,0,7.164135984,2.011550827,0.014993219,0.006277274,0.139584173,0.497128875,66.69681958,159.3048115
70,1047564868,0,1,-1,1000,0.05,0.05,1,0.974199302,0.943235874,0.729049106,0.476395705,0.476395705,0.476395705,0.476395705,8.30609E-07,6.44301E-06,0.923897641,0.923897641,0,2.294435897,2.23523785,2.16419425,1.67275644,2.294435897,2.23523785,2.16419425,1.67275644,0.019219527,0.012920484,0.007388877,0.007388877,0.980780473,0.987079516,0.985222247,0.992611123,10000000,9807804.73,2446.558928,18.34847136,18.34847136,0,186908.4971,1401.758677,1401.758677,0,3.28834677,1.106379613,0.008034289,0.00917552,0.304104181,0.903848903,124.4665187,108.9856442
71,972852264,0,1,-1,1000,0.05,0.05,1,0.931145065,0.862201899,0.740249336,0.579445625,0.579445625,0.579445625,0.579445625,1.36711E-06,5.82379E-06,0.8817898,0.8817898,0,1.983135729,1.846587047,1.709863391,1.468014906,1.983135729,1.846587047,1.709863391,1.468014906,0.026215377,0.001657144,0.010295745,0.010295745,0.973784623,0.998342856,0.97940851,0.989704255,10000000,9737846.228,425.4810739,4.472745202,4.472745202,0,256330.1538,2694.595684,2694.595684,0,3.878168925,1.711626026,0.005127621,0.012148508,0.257853647,0.584239772,195.0222013,82.31463206
72,132604694,0,1,-1,1000,0.05,0.05,1,0.936985533,0.891572148,0.971319439,0.393528141,0.393528141,0.393528141,0.393528141,6.5469E-07,6.80126E-06,0.859874405,0.859874405,0,2.073579275,1.942913782,1.848745528,2.014107858,2.073579275,1.942913782,1.848745528,2.014107858,0.023922907,0.014250193,0.014424371,0.014424371,0.976077093,0.985749807,0.971151257,0.985575629,10000000,9760770.934,3310.713315,49.17355314,49.17355314,0,229016.8945,3401.555303,3401.555303,0,1.551425056,1.776728984,0.004012798,0.010685338,0.64456868,0.562832041,249.2026724,93.58618274
73,1016066737,0,1,-1,1000,0.05,0.05,1,0.960520934,0.882825357,0.782477049,0.40472995,0.40472995,0.40472995,0.40472995,7.30456E-07,4.33936E-06,0.927806104,0.927806104,0,2.210135162,2.12288109,1.951163363,1.72938004,2.210135162,2.12288109,1.951163363,1.72938004,0.019807361,0.000639134,0.00874609,0.00874609,0.980192639,0.999360866,0.982507821,0.99125391,10000000,9801926.392,124.3810641,1.107215563,1.107215563,0,194484.4882,1731.26234,1731.26234,0,2.011014262,1.34416219,0.012838327,0.002764741,0.497261516,0.74395784,77.89176936,361.6974991
74,340466781,0,1,-1,1000,0.05,0.05,1,0.997169115,0.862623954,0.834618116,0.677256271,0.677256271,0.677256271,0.677256271,8.88886E-07,5.24447E-06,0.831215872,0.831215872,0,2.1030765,2.097122932,1.814164167,1.755265746,2.1030765,2.097122932,1.814164167,1.755265746,0.022227864,0.00628615,0.008895054,0.008895054,0.977772136,0.99371385,0.982209893,0.991104946,10000000,9777721.361,1372.41919,12.42885307,12.42885307,0,216951.8594,1964.751589,1964.751589,0,5.714497967,1.899029302,0.012133787,0.017125541,0.1749935,0.526584818,82.41449757,58.39231725
