Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-135343712,2011055390,12403081,11312902,226258.04,12403081,8308917,135530,331931,30216,12352260,1070177,11312902,12383079,4882480.888,85286.07264,6022.073022,78535.69159,1026.451044,2352.461813,214.7709341,0.017467208,0.070647477,0.012973675,0.028613283,0.002614987,0.669939691,0.011830507,0.027822582,0.002536812,0.05080394,0.098701932
Base,364,0.05,1,5000,-112328374,294003954,10595533,6373044,127460.88,10595533,7068857,79412,99858,1,10505851,4170469,6373044,10543513,4875615.348,50076.84231,1254.661813,48199.91253,664.5573626,526.7145604,0.000879121,0.01027094,0.024986628,0.010748619,0.010337889,1.81E-08,0.667249757,0.006159358,0.009329811,8.31E-08,0.043462588,0.338929301
Base,364,0.05,1,5000,-91924520,1096650247,8504677,6877750,137555,8504677,5674352,73318,87713,1,8446128,1600975,6877750,8478725,4877142.255,58719.27764,845.3085714,57374.45802,547.2997253,681.5501648,0.002087912,0.012039945,0.014255434,0.005786803,0.008385826,2.39E-08,0.667256314,0.005330916,0.007545928,7.59E-08,0.034875231,0.118298681
Base,364,0.05,1,5000,-132222828,2115007415,12740949,4813338,96266.76,12740949,9209742,126580,112465,1603,12575113,7849957,4813338,12663295,4880933.048,119038.81,6438.282912,111852.3266,1662.117198,1263.220714,18.39571429,0.024388362,0.05408842,0.014461281,0.010280594,0.000149223,0.722823516,0.010377857,0.008561492,0.000121218,0.052205696,0.637296988
Base,364,0.05,1,5000,-152726475,1837118563,14365492,9071555,181431.1,14365492,9244784,170519,138523,15,14300658,5264859,9071555,14336414,4881735.458,151333.9305,6781.849396,143708.4202,1833.977198,1527.648846,0.143406593,0.030999077,0.044835228,0.013152125,0.00977458,1.08E-06,0.643614766,0.012879614,0.009340627,1.16E-06,0.05885223,0.398416465
Base,364,0.05,1,5000,-137917094,1241886076,13659491,1322184,26443.68,13659491,9754723,140961,168874,4297,13512617,12276707,1322184,13598891,4881295.151,149505.0647,4811.685989,143891.193,1963.561703,1979.319615,49.85038462,0.030627456,0.032180998,0.014234856,0.011765548,0.000292857,0.714106606,0.011220099,0.010892633,0.000275499,0.055964936,0.917188964
Base,364,0.05,1,5000,-155190624,213681406,14849034,6700284,134005.68,14849034,9397739,88377,84255,0,14722565,8071863,6700284,14772147,4879768.716,97991.65813,3245.642198,93874.05753,872.1712088,749.5886813,0,0.020081423,0.033115355,0.00964404,0.007336437,0,0.632796566,0.006490185,0.005475301,0,0.060858943,0.578470003
Base,364,0.05,1,5000,-170768278,121360481,15769799,13070288,261405.76,15769799,11050232,601808,105717,0,15698364,2667947,13070288,15738235,4878915.332,96824.00687,7201.207912,88696.71918,3712.919396,809.9026923,0.000384615,0.019844451,0.074480761,0.041360234,0.009238343,5.98E-09,0.70086455,0.041223553,0.007494094,0,0.064641414,0.218031927
Base,364,0.05,1,5000,-124141681,1778821187,11726701,6874671,137493.42,11726701,8183969,87661,392219,0,11613951,4799435,6874671,11674106,4880005.912,80328.26297,6290.420659,73349.14209,810.4604396,2710.087308,0.001703297,0.016460969,0.078221413,0.01014351,0.03306093,2.15E-08,0.697682494,0.007539714,0.032840057,0,0.048059823,0.417999305
Base,364,0.05,1,5000,-77397288,1762379876,7201334,5383948,107678.96,7201334,4618074,262891,56404,2,7135190,1785434,5383948,7169382,4877014.736,50622.92577,866.9963187,49332.94187,1943.412857,564.9920879,0.015659341,0.010380212,0.01695405,0.032834942,0.008535253,2.25E-07,0.640821117,0.031623065,0.006010335,2.02E-07,0.029531765,0.178387733
