Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-155290204,259068172,14769241,7597794,151955.88,14769241,10756804,205367,227630,201812,14458773,7041003,7597794,14638797,4875959.976,109870.051,1406.350165,107596.3526,2205.20011,2071.56989,1834.784615,0.022533302,0.012761342,0.02038171,0.017241682,0.014995876,0.728420003,0.014333164,0.014259503,0.012463471,0.015145124,0.498235504
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-182359133,311343939,16756954,14789593,295791.86,16756954,10783128,138725,381185,113,16637842,1919871,14789593,16709464,4881665.58,168067.5279,3122.097363,163961.4566,1473.566099,3878.995604,1.322307692,0.034426717,0.018694605,0.011389877,0.024469829,8.72E-06,0.643686763,0.010733896,0.024104976,7.41E-06,0.017162391,0.15807445
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-153284200,214621422,14150848,11775720,235514.4,14150848,9993504,114667,484358,431294,14034237,2324018,11775720,14099738,4876223.91,64047.2467,1202.168681,62014.0028,849.485989,2201.236154,1961.360385,0.013134858,0.01876425,0.013168405,0.034198831,0.030162915,0.705914517,0.008348726,0.034031119,0.030037653,0.014510147,0.178203959
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-125098998,1727375071,11544901,9649988,192999.76,11544901,7874290,63254,89330,0,11495969,1871752,9649988,11521740,4877394.592,56177.37962,729.6200549,54769.75995,381.4492308,474.7325275,0,0.011518029,0.012983332,0.005474184,0.007387946,0,0.682181846,0.00445528,0.006782242,0,0.011835151,0.134170454
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-99762368,1176035151,9527966,4482708,89654.16,9527966,6718803,104302,253387,0,9384540,4986634,4482708,9469342,4881621.401,103432.3698,4684.701484,98188.02566,1438.12522,3178.106154,0.000494505,0.021188954,0.04529225,0.012484128,0.030261681,5.73E-09,0.705206817,0.009893633,0.026368082,0,0.009759309,0.484686931
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-105563675,719106752,9769359,7870085,157401.7,9769359,6613877,59296,256229,77,9681664,1858621,7870085,9728706,4879180.882,87367.5322,1578.287582,85215.43511,679.7464835,2463.286538,0.62467033,0.017906654,0.018038169,0.007266954,0.026164721,6.36E-06,0.676558311,0.005635705,0.02448211,7.02E-06,0.010011357,0.176797321
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-138069256,615056590,13335741,4711846,94236.92,13335741,8259705,152757,221433,19979,13127080,8498623,4711846,13210469,4877222.273,100276.3199,1544.810495,97948.38714,1282.472857,2523.056978,229.4242308,0.020560535,0.015405027,0.013522768,0.022893711,0.002068233,0.619455083,0.012072871,0.015412081,0.001385095,0.013671581,0.665359265
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-126507195,806996332,12427136,2235835,44716.7,12427136,8131989,1083361,124726,13,12370033,10169212,2235835,12405047,4878518.814,83605.98835,2963.45489,79912.7433,7233.881374,865.6352747,0.120934066,0.017137611,0.035445647,0.086232063,0.01027389,1.47E-06,0.654381377,0.086895538,0.009964042,1.05E-06,0.012736595,0.818399087
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-146591752,988739304,13547348,11118272,222365.44,13547348,8376388,166345,102169,1754,13461210,2388143,11118272,13506415,4876867.414,119668.9181,5404.152857,113469.1818,1665.935824,991.9065934,16.80950549,0.024538144,0.045187072,0.014743277,0.008709707,0.000147673,0.6180862,0.013093209,0.007937857,0.000136473,0.013889334,0.193849982
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-118652852,964657008,11006385,8589002,171780.04,11006385,7630604,94729,140064,7640,10903038,2368827,8589002,10957829,4876790.932,74927.23802,2830.378022,71450.51176,843.4169231,1131.096593,62.37972527,0.015364045,0.037775906,0.011248605,0.014698086,0.000809861,0.69328496,0.008733384,0.012493974,0.000680463,0.011284374,0.222364351
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-118652852,964657008,11006385,8589002,171780.04,11006385,7630604,94729,140064,7640,10903038,2368827,8589002,10957829,4876790.932,74927.23802,2830.378022,71450.51176,843.4169231,1131.096593,62.37972527,0.015364045,0.037775906,0.011248605,0.014698086,0.000809861,0.69328496,0.008733384,0.012493974,0.000680463,0.011284374,0.222364351
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-88275763,1197125116,8511169,3164073,63281.46,8511169,5678260,164646,216096,52191,8398732,5290305,3164073,8454378,4879928.058,68265.17066,1746.307033,66018.9478,1748.943846,1728.267747,417.6681868,0.013989577,0.025562263,0.023989291,0.028334506,0.006980762,0.66717495,0.018454132,0.028295982,0.006961309,0.008720861,0.568492342
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-94097669,481936084,9120871,2888959,57779.18,9120871,6180613,106144,175139,1,9033394,6192050,2888959,9081009,4874754.86,59778.1128,777.5041209,58464.88319,791.697967,1187.249835,0.000384615,0.012262221,0.012979521,0.011852016,0.021198034,9.42E-09,0.677104127,0.010487643,0.020550619,9.71E-08,0.00935459,0.647877299
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-181559612,1013066850,16693191,14627702,292554.04,16693191,12113970,440168,1318179,0,16572932,2027547,14627702,16655249,4878933.985,134786.6832,6487.992308,127318.4082,3787.042967,10672.49407,0.000604396,0.027625822,0.04819898,0.02987622,0.07843308,5.33E-09,0.725734046,0.028094931,0.078281562,0,0.017107158,0.147608729
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-86617618,301083787,8132877,5288848,105776.96,8132877,4978303,768880,110465,1603,8036854,2791290,5288848,8080138,4879927.406,64417.24264,667.4274725,63272.05742,6029.00489,1248.777912,17.7443956,0.013201077,0.010258034,0.091859909,0.015441946,0.00022195,0.611826392,0.092908419,0.011060061,0.00016283,0.008333226,0.261850943
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-110088384,849212517,10528189,4806494,96129.88,10528189,6713197,128589,89258,0,10392280,5641606,4806494,10448100,4877475.176,53929.83797,1133.399725,52178.12874,1098.607967,600.126044,0.000989011,0.011057123,0.020989786,0.015500342,0.010707721,1.74E-08,0.63769029,0.009646505,0.008227963,0,0.010792564,0.483302511
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-82965563,833186604,7857972,4385843,87716.86,7857972,5090899,162720,279847,13185,7724955,3409521,4385843,7795364,4878740.865,86701.15874,3218.130604,83021.33511,2204.79967,3249.066648,149.8983516,0.017770696,0.037106245,0.019108441,0.038926522,0.001840862,0.64856347,0.015753736,0.037051832,0.001781536,0.008053003,0.341752859
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-103146409,159298795,9493920,8207209,164144.18,9493920,6886451,431356,99496,1490,9432786,1263284,8207209,9470493,4879181.293,73369.0011,4676.942088,68134.40549,3310.605275,825.6534066,12.27082418,0.015037693,0.063784763,0.042832268,0.008528424,0.000129132,0.725556772,0.043125778,0.007975902,0.000121435,0.009729276,0.097855372
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-132908058,1188037569,12791442,4993638,99872.76,12791442,8869304,145825,154721,5,12608632,7706087,4993638,12699725,4878745.212,72812.93742,4521.974505,67539.87659,1165.181758,1149.792198,0.06978022,0.014924656,0.062164918,0.013438695,0.014861873,8.12E-07,0.693593914,0.009775619,0.011551777,3.33E-07,0.013109374,0.571674519
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-145154979,1419757838,13539526,9759719,195194.38,13539526,8339672,1482212,206385,720,13405294,3712617,9759719,13472336,4878381.112,143925.8804,5247.918901,137882.7787,15603.79934,2750.515714,9.496648352,0.029502712,0.036502673,0.108447265,0.01858662,6.49E-05,0.615955431,0.109628471,0.015038807,5.27E-05,0.013877032,0.296281966
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-141773959,441819668,13202935,9744609,194892.18,13202935,9415455,139888,126950,2557,13084840,3411383,9744609,13155992,4877420.364,88734.99434,5428.730549,82530.94033,1152.286978,1050.776429,21.19197802,0.018193956,0.061160968,0.014460539,0.012476224,0.000250297,0.712542619,0.011907758,0.010092615,0.000204733,0.01353522,0.292361444
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-135688315,1338660014,12533544,10352875,207057.5,12533544,8338368,409046,509900,3775,12447003,2143360,10352875,12496235,4881112.823,112201.2068,4125.873571,107339.203,3695.138956,4644.077747,34.77785714,0.022987811,0.036775812,0.031732182,0.039495383,0.000303204,0.665292566,0.0315114,0.038869595,0.000293998,0.01283926,0.152819079
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-114262028,1106572603,10624052,8021508,160430.16,10624052,6590553,177146,66756,199,10561688,2568383,8021508,10589891,4875783.587,79675.61302,4807.567473,74244.04071,1383.157198,672.9810989,2.248791209,0.016340872,0.060343233,0.016071041,0.007780982,2.61E-05,0.620398805,0.015511719,0.005842305,1.75E-05,0.010894562,0.223630337
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-124155725,260076917,11556233,8593395,171867.9,11556233,8465490,201029,848364,40402,11377412,2896716,8593395,11490111,4878759.11,121113.0675,3342.420769,117092.0216,2523.188077,8813.23033,422.3833516,0.024824849,0.027588249,0.019474222,0.073844535,0.003544637,0.732607769,0.016422799,0.074312234,0.003542138,0.011843506,0.242378819
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-116788879,603902765,11043768,6351199,127023.98,11043768,7863100,141935,158197,181404,10899073,4618297,6351199,10969496,4875767.713,65034.67945,4724.422253,59661.60989,1300.008297,938.5850549,1068.377857,0.01333773,0.072618878,0.016185785,0.015346302,0.017861568,0.712104823,0.010609342,0.015188172,0.017781113,0.011324463,0.358643358
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-162302910,1888936316,15060860,11694310,233886.2,15060860,10568820,126790,615465,2594,14964488,3329625,11694310,15023935,4880912.51,100608.9758,3933.511593,95791.0256,1075.345495,4207.594945,18.02373626,0.020612775,0.039116828,0.012278483,0.040711281,0.000184829,0.70135471,0.009807485,0.039679974,0.000177744,0.015428172,0.268069956
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-129818988,2137524051,12439904,5419948,108398.96,12439904,9051446,275825,629768,8646,12210352,6930250,5419948,12350198,4878731.633,124487.5161,893.6767582,122863.2318,3873.533626,6373.830769,89.19230769,0.025515984,0.007183239,0.031596545,0.049159968,0.000688525,0.727524602,0.022780111,0.048220503,0.000661708,0.012748827,0.586043007
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-108807000,727081432,10369026,5116740,102334.8,10369026,7053611,133459,101773,5,10196740,5172242,5116740,10288982,4875842.175,53847.13973,1701.951319,51536.22769,969.6946154,686.5398352,0.028736264,0.01104396,0.031437675,0.013528183,0.011840062,4.44E-07,0.679613467,0.009806925,0.009128419,3.99E-07,0.010632944,0.436651184
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-142514294,1315551654,13322613,9288164,185763.28,13322613,8672582,80767,87509,1750,13219794,3974891,9288164,13263055,4879099.256,62030.69357,4975.640549,56272.68621,530.0777473,518.2781319,10.79302198,0.012713352,0.080203662,0.009261216,0.008281556,0.000171272,0.650879236,0.00669017,0.006603746,0.00013098,0.013652393,0.333340512
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-164577511,619787105,15197320,12604311,252086.22,15197320,9772092,134911,167975,843,15093204,2538560,12604311,15142871,4877065.33,80064.47341,3681.303297,75490.66538,1022.594451,950.8149451,4.473791209,0.016416478,0.045983461,0.012641448,0.012089483,5.77E-05,0.642980109,0.009058817,0.011241372,5.68E-05,0.015580343,0.179086585
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-113967525,795649007,10501410,8953425,179068.5,10501410,7243210,102901,145222,0,10412185,1505842,8953425,10459267,4878514.548,66759.92231,1537.273736,64605.86462,835.8365934,1011.142473,5.49E-05,0.013684524,0.023028084,0.011929786,0.014847668,1.55E-09,0.689763905,0.009500084,0.01363161,0,0.010762897,0.143319876
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-106011019,1343766915,9958351,6427509,128550.18,9958351,6775911,501639,140180,28888,9857333,3488758,6427509,9916267,4880376.952,62423.19121,1812.25044,60026.06516,3158.120824,1030.661484,214.7736264,0.012791102,0.028977294,0.049439168,0.014749316,0.003101103,0.680488239,0.049367333,0.012762576,0.002650507,0.010202706,0.321510963
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-154729199,1422636079,14224452,12484679,249693.58,14224452,10058949,667133,390029,948,14149401,1713113,12484679,14197792,4880912.992,116714.9124,3986.675824,111892.9337,5464.134615,3342.713352,7.421263736,0.023911857,0.034223347,0.047660057,0.030508514,7.03E-05,0.706768833,0.047750527,0.029315092,7.34E-05,0.014570923,0.151831126
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-79395798,810794537,7802869,1367108,27342.16,7802869,5117984,200497,71887,0,7604811,6309240,1367108,7676348,4878646.225,57695.64407,882.3841209,56354.91099,2528.887802,621.902033,0.00032967,0.011826828,0.015312296,0.038063381,0.012883934,6.99E-09,0.655922981,0.022854531,0.0109368,0,0.007997205,0.773046248
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-156468587,1544126642,14505957,11409017,228180.34,14505957,9561961,1572366,235254,266,14342871,3018795,11409017,14427812,4877581.695,157517.558,5980.285989,150685.3734,16901.01423,3013.407418,3.342087912,0.032294701,0.038032976,0.106668287,0.020336781,2.29E-05,0.659292517,0.107878725,0.017360507,1.99E-05,0.014870305,0.255156467
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-121097252,40126474,11099421,10103042,202060.84,11099421,6925076,57505,267873,0,11060690,975721,10103042,11078763,4876764.526,64015.43604,1214.923516,62148.70368,464.6348352,1557.374341,0.000164835,0.013126614,0.018964322,0.006369566,0.02373714,3.06E-09,0.623993028,0.004620592,0.023578353,0,0.011379809,0.079745917
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-152308675,1279224908,14056192,11746755,234935.1,14056192,8667640,94313,1396739,0,13958560,2262951,11746755,14009706,4876314.606,138718.197,5635.334505,132257.3291,1194.010275,13765.79374,0,0.028447522,0.040632203,0.009364846,0.097463324,0,0.616581088,0.007363422,0.097591271,0,0.014412837,0.182873857
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-104282553,1404297002,10060895,3673603,73472.06,10060895,6780397,91444,102993,46,9954027,6329511,3673603,10003114,4877596.883,66714.44725,4617.153242,61506.45736,874.3236264,814.6574176,0.326593407,0.01367796,0.069185663,0.009489337,0.012801509,3.51E-06,0.673948391,0.00667064,0.010824389,3.28E-06,0.01031334,0.537739512
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-124137605,1211048515,11363745,10500155,210003.1,11363745,7796301,102690,38165,1,11316311,842104,10500155,11342259,4879140.583,45224.36533,2192.534121,42364.34429,484.0864835,175.9101099,0.010274725,0.009269195,0.048459624,0.008372149,0.003133724,1.73E-07,0.686192424,0.007197036,0.002731835,6.65E-08,0.011645417,0.059667276
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-120537805,340122647,11253169,8006115,160122.3,11253169,8065814,107544,375582,0,11154677,3203305,8006115,11209420,4881389.993,61357.11615,1795.480879,58900.7217,804.0315385,2100.570055,0.002197802,0.012570361,0.029201965,0.011921774,0.034202956,3.22E-08,0.716241532,0.00884422,0.033384251,0,0.01152691,0.268155632
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-132186862,1750828942,13118265,1004212,20084.24,13118265,8816453,182965,100645,3847,12972963,12040890,1004212,13045102,4880123.58,87497.4417,3171.954176,83555.21615,1673.413846,815.2922527,30.76021978,0.017929658,0.036246872,0.01858974,0.009622376,0.000371836,0.671938376,0.01375751,0.00796369,0.000310877,0.013440494,0.918037755
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-164633060,1103238679,15374203,10891030,217820.6,15374203,10107202,63607,1159579,64,15286322,4435816,10891030,15326846,4877630.907,107635.9041,6792.470824,99940.61143,672.7439011,8069.975385,0.352307692,0.022067895,0.063121673,0.008281691,0.067053633,3.41E-06,0.65729518,0.005460061,0.067442855,4.30E-06,0.015760369,0.373294595
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-125586573,1320565175,12276437,2822203,56444.06,12276437,8172649,128939,214109,72,12111375,9371217,2822203,12193420,4880036.471,89078.09692,4908.693022,83448.39725,1258.173352,1884.58533,1.100879121,0.018252792,0.05512576,0.015179411,0.018473562,1.38E-05,0.665800649,0.01150382,0.015333787,6.46E-06,0.012577673,0.791650775
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-124316027,460367419,12290044,1415587,28311.74,12290044,8534777,229662,123479,4,12204629,10835859,1415587,12251446,4876327.558,84373.26005,4637.102418,79014.34132,1739.05022,868.2537912,0.005879121,0.01730289,0.054937554,0.018501435,0.009257227,7.26E-08,0.694233063,0.016825586,0.008979862,2.98E-07,0.012601773,0.898907983
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-153564669,365766537,14468098,8883689,177673.78,14468098,9635590,79145,214254,0,14325772,5516182,8883689,14399871,4874054.444,123487.0336,1651.411758,120985.9676,780.286978,2470.093681,0,0.025337425,0.013424596,0.00863496,0.019130164,0,0.665927124,0.007389577,0.014404616,0,0.014842909,0.460700903
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-135501739,980403979,12462329,10878449,217568.98,12462329,8356637,120808,123168,763,12383085,1548663,10878449,12427112,4875087.315,74838.98137,1712.189615,72394.92253,855.2442308,885.3028571,5.485659341,0.015351884,0.022908347,0.013237733,0.013209958,8.14E-05,0.67028093,0.01133156,0.011143322,6.89E-05,0.012781962,0.147943279
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-117352069,1570149555,11053203,6820039,136400.78,11053203,7774189,143249,134903,3201,10891756,4154459,6820039,10974498,4876501.544,60892.72401,4856.319341,55387.27121,1170.709066,1033.61989,23.52873626,0.012486919,0.079945452,0.013908928,0.014400203,0.000328949,0.704216904,0.009658496,0.010533062,0.000250535,0.011333029,0.306926213
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-147982612,329057938,14633817,1644442,32888.84,14633817,8960394,211531,200359,11,14340544,12809184,1644442,14453626,4881197.307,108772.0231,3045.003132,104867.5719,2478.790385,2075.45978,0.161813187,0.022283298,0.028017976,0.023444374,0.016391477,1.47E-06,0.612474663,0.015000785,0.011875003,7.41E-07,0.014989557,0.901674368
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-149845870,873573745,14913508,710790,14215.8,14913508,10910305,80031,176114,0,14768307,14153604,710790,14864394,4875705.143,118254.9631,5584.848407,111794.3024,726.458956,1437.272802,0.031483516,0.024254257,0.047249975,0.007457521,0.009994394,3.20E-07,0.731554677,0.006476126,0.009745528,0,0.015293772,0.961463308
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-155306699,605009457,14615169,9155009,183100.18,14615169,10062531,85204,215158,0,14427063,5355437,9155009,14510446,4879012.177,83415.89242,2807.497363,79750.22011,565.7034615,2177.983516,0,0.017096938,0.033661105,0.006719378,0.024587179,0,0.688606632,0.005798257,0.014308321,0,0.014977603,0.370126535
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-106244162,693801781,10077133,5472832,109456.64,10077133,7418823,491600,216594,4692,9923379,4545686,5472832,10018518,4878915.901,90880.64044,935.396044,89353.36714,4551.783736,2336.768956,49.79049451,0.018627893,0.010231122,0.047682392,0.023674165,0.000537043,0.736440645,0.046699636,0.019986461,0.000457572,0.010327527,0.370240368
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-157499284,478287353,14389230,13606984,272139.68,14389230,10034132,259163,113789,0,14349063,767855,13606984,14374839,4876273.662,73916.7767,1082.559835,71989.21582,1343.984231,626.7084066,0.00989011,0.015159581,0.014673701,0.018961242,0.009995652,1.81E-07,0.6970162,0.018719255,0.009268996,0,0.014755177,0.063604263
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-126618629,1833115361,11953318,7085449,141708.98,11953318,7604080,45165,56844,3,11891695,4832439,7085449,11917888,4879611.292,60351.06731,3179.042747,56469.91137,286.9256593,401.9002198,0.001593407,0.012368216,0.052672898,0.004263236,0.006275257,2.90E-08,0.636141344,0.003406691,0.004503482,2.27E-07,0.012248272,0.388770135
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-115031439,900296315,10710108,7930359,158607.18,10710108,7712225,63382,48657,421,10661569,2757689,7930359,10688048,4881892.382,49639.89363,1695.466099,47315.45852,336.7151099,312.3071978,2.571593407,0.010168867,0.034172246,0.005352044,0.005234663,4.41E-05,0.72026528,0.004706254,0.003813631,3.35E-05,0.01096984,0.208933495
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-143196488,514547217,13132923,11867258,237345.16,13132923,9177145,49888,77828,0,13078393,1244324,11867258,13111582,4880606.575,69358.00962,1020.910495,67565.77527,285.1811538,458.0202198,0,0.014210467,0.0147928,0.005076196,0.00772672,0,0.698802793,0.004688372,0.006957579,0,0.013453637,0.117954808
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-115144248,1714832567,10854597,6598278,131965.56,10854597,7803648,166235,204874,3136,10720461,4200063,6598278,10798341,4875432.289,56431.87841,3623.569505,52170.81599,1100.292802,1097.990604,16.82587912,0.011574927,0.064128169,0.017668674,0.019436325,0.000294008,0.718525969,0.013995924,0.018857659,0.000284639,0.011131827,0.358424418
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-144184590,663410550,13608356,8101030,162020.6,13608356,8367023,213879,179805,34358,13402192,5387389,8101030,13488419,4881421.459,108443.5652,4465.684396,103178.7255,1959.362582,2023.861978,389.7965385,0.022215094,0.041199516,0.019549355,0.017545613,0.003375199,0.614871833,0.017029885,0.012726391,0.002428634,0.013938577,0.43567729
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-120020967,1796280509,11189096,8130007,162600.14,11189096,7742719,126497,265194,7976,11094451,3012891,8130007,11142898,4880086.647,67464.33571,2795.760714,64011.48423,1083.007527,1623.29533,48.30346154,0.013824431,0.041444472,0.015167019,0.023970802,0.000714168,0.692030385,0.010900429,0.023588336,0.000707915,0.011463989,0.274184875
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-99821190,207063591,9429637,5524820,110496.4,9429637,5791512,96010,114108,346,9315943,3837225,5524820,9362045,4880130.832,77155.78582,1128.297527,75473.61352,932.7216484,1395.818626,3.954450549,0.015810824,0.014583842,0.009103838,0.015989855,4.59E-05,0.614330055,0.007695668,0.010875799,3.33E-05,0.009661485,0.342137244
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-140629529,1608069513,13060723,10022299,200445.98,13060723,8220182,851984,271454,15024,12981341,3001254,10022299,13023553,4879818.957,89093.6589,958.7671429,87367.82192,5834.638736,1918.412143,105.8425275,0.018257738,0.010756755,0.064972303,0.021158304,0.001148109,0.629406924,0.064790895,0.020470027,0.001114083,0.013382429,0.228664189
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-84113513,754163200,8267572,1437793,28755.86,8267572,5444925,80538,64091,14,8173789,6779427,1437793,8217220,4875902.021,37227.83335,1231.571429,35510.65731,527.6222527,400.4548901,0.114835165,0.007635012,0.033070188,0.012977802,0.012038258,2.96E-06,0.65834049,0.009136186,0.00885362,1.60E-06,0.008477762,0.777347878
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-174626163,1832494672,16384848,10777683,215553.66,16384848,12029047,101536,284485,12,16237544,5549952,10777683,16327635,4882823.06,162550.1264,7840.322198,153747.661,1048.989396,2925.060714,0.111428571,0.033288171,0.048255588,0.00817919,0.017453478,8.40E-07,0.734234474,0.007838487,0.016867963,8.69E-07,0.016777075,0.390252879
D:0.3yr| T: 11.98%| I: 2.38%| Obs: 125000.0%,91,0.119765254,0.023761426,1250,-98703736,1792354055,9532843,3375306,67506.12,9532843,7068650,123515,176930,2,9448325,6125551,3375306,9500857,4879132.7,58078.00648,1336.65022,56181.5006,882.8758242,1151.554396,0.050494505,0.011903876,0.022978247,0.01231975,0.021109864,7.07E-07,0.741642686,0.01060382,0.019812147,1.67E-07,0.009769348,0.607348292
