Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Resistant to G_A,Total: Received 1st Tx & Resistant to G_B,Total: Received 1st Tx & Resistant to G_AB,Total: Success 1st,Total: Success A or B,Total: Success M,Total: Success All,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence | Sym,Averge size: Prevalence | G_A,Averge size: Prevalence | G_B,Averge size: Prevalence | G_AB,Average ratio: Prevalence,Average ratio: % infection symptomatic,Average ratio: % infection resistant to G_A,Average ratio: % infection resistant to G_B,Average ratio: % infection resistant to G_AB,Average ratio: % received 1st Tx & symptomatic ,Average ratio: % received 1st Tx & resistant to G_A,Average ratio: % received 1st Tx & resistant to G_B,Average ratio: % received 1st Tx & resistant to G_AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-157765089,499545406,14554776,12217329,244346.58,14554776,10230612,71320,88439,0,14495477,2310776,12217329,14528105,4877102.818,72643.0239,4334.113077,425.7058791,564.0857692,0,0.014895293,0.059667477,0.006481995,0.008201229,8.79016E-10,0.702884954,0.005450065,0.006487239,0,0.059688688,0.178509529
Base,364,0.05,1,5000,-150850669,1369886119,13918706,11663609,233272.18,13918706,9694512,53442,105100,0,13837429,2218368,11663609,13881977,4878372.057,92070.64665,2163.232033,466.5495055,823.3840659,0.00032967,0.018873384,0.023488825,0.004887294,0.008716951,5.13781E-09,0.696515284,0.003732251,0.007412804,0,0.057062735,0.158152678
Base,364,0.05,1,5000,-93253305,736373015,9177684,1476465,29529.3,9177684,6462643,62545,83604,0,9096521,7670487,1476465,9146952,4877904.469,71753.53571,1570.349945,514.0451099,702.903022,0.001923077,0.01471028,0.021877558,0.006109924,0.010264109,2.4143E-08,0.704106806,0.00582984,0.009546902,0,0.037630204,0.81642846
Base,364,0.05,1,5000,-136479910,1241886076,13611164,368270,7365.4,13611164,9724490,143527,93315,9,13469195,13184823,368270,13553093,4879564.965,148947.7802,5363.894176,1998.921044,1104.093571,0.163791209,0.030525581,0.03600291,0.014462061,0.006617649,1.16615E-06,0.71439774,0.011405658,0.006016585,7.00764E-07,0.055789854,0.977506294
Base,364,0.05,1,5000,-97255596,979268293,9296451,4291086,85821.72,9296451,6357024,114986,68196,398,9207781,4959947,4291086,9251033,4878692.573,54056.4378,5016.743022,829.6631319,635.355,3.288736264,0.011080308,0.093001064,0.010273268,0.010830002,5.666E-05,0.6844472,0.008426592,0.006909436,4.05374E-05,0.038110739,0.437897342
Base,364,0.05,1,5000,-83455426,1503392772,7963248,3822946,76458.92,7963248,5162822,109927,260416,0,7852175,4090869,3822946,7913815,4883238.376,64618.50363,3476.763407,1141.34989,2126.640879,0.002252747,0.013235044,0.053885413,0.013318673,0.035266571,3.06628E-08,0.649072632,0.010521911,0.034962155,0,0.032618705,0.379023854
Base,364,0.05,1,5000,-121435570,2084214950,11432202,7113550,142271,11432202,7651007,87104,108486,4,11343577,4278867,7113550,11392417,4878337.444,88653.18066,2419.257857,789.396044,893.8823077,0.020604396,0.01817288,0.027253865,0.0072388,0.009635663,1.82741E-07,0.669398363,0.006233794,0.009075837,2.74424E-07,0.046868805,0.318514271
Base,364,0.05,1,5000,-159652690,1608095401,14760425,12048440,240968.8,14760425,9595609,57432,120630,2397,14695000,2682301,12048440,14730741,4879604.605,70116.12687,6832.706648,337.0299451,636.1854396,12.6093956,0.014369049,0.097482994,0.005692977,0.009476745,0.000188827,0.650066128,0.004643784,0.008563977,0.000171412,0.060497107,0.21860296
Base,364,0.05,1,5000,-136226610,2014401626,13021436,6012250,120245,13021436,8489218,103838,174088,0,12910481,6943669,6012250,12955919,4876590.36,62795.3322,3900.261209,862.7350549,918.1971978,0.000769231,0.012876752,0.062124439,0.013038713,0.014317214,1.69994E-08,0.652028875,0.007683565,0.013116936,0,0.053403337,0.51875399
Base,364,0.05,1,5000,-104456622,1991305249,10345853,998092,19961.84,10345853,7222851,108391,62568,3,10267492,9308885,998092,10306977,4881676.98,64247.99588,4991.356429,854.3104945,478.4528571,0.018736264,0.013162643,0.077617654,0.011683609,0.008568822,2.75193E-07,0.697986472,0.009406383,0.007041896,2.67995E-07,0.042389833,0.878371566
Base,364,0.05,1,5000,-107331657,538718550,10030001,7031647,140632.94,10030001,6798766,55599,56878,2,9976775,2972732,7031647,10004379,4879654.762,42612.18187,2613.372802,290.3042308,316.7531319,0.016703297,0.00873316,0.061288875,0.005825519,0.006518235,3.48707E-07,0.677810237,0.004792151,0.005014119,1.75364E-07,0.04111066,0.258654247
Base,364,0.05,1,5000,-94557778,481936084,9160746,2950318,59006.36,9160746,6213417,82265,94652,6198,9099978,6182172,2950318,9132490,4881401.816,59962.50896,1141.874615,629.3839011,647.0995604,41.9771978,0.01228457,0.019011919,0.009204167,0.011812599,0.000774145,0.678018225,0.007928378,0.011340835,0.000749041,0.037533934,0.638859737
Base,364,0.05,1,5000,-160276597,62021583,14677567,13500927,270018.54,14677567,9247370,40103,440683,217,14607027,1143245,13500927,14644172,4881369.974,86761.41132,5897.402802,281.2956593,2676.099835,1.424395604,0.017773778,0.068040396,0.004097567,0.032404018,1.85733E-05,0.630157637,0.003398139,0.031612323,1.67042E-05,0.060135357,0.097902739
Base,364,0.05,1,5000,-153909248,259068172,14435717,9552078,191041.56,14435717,10547509,97403,123219,0,14325028,4835549,9552078,14387627,4876061.364,106486.7124,1931.569725,1075.84956,1140.201044,0.000164835,0.021838964,0.01815265,0.010651996,0.010772741,2.65079E-09,0.730614585,0.007192196,0.008608347,0,0.059211784,0.358042415
Base,364,0.05,1,5000,-164557925,1150069913,15089210,13665825,273316.5,15089210,10853568,446950,694180,612,15027295,1403941,13665825,15069766,4881629.32,136982.0565,6880.606538,4203.207747,6370.329341,5.464120879,0.028059313,0.050282842,0.033052479,0.046212345,4.25174E-05,0.719351005,0.031869708,0.045698781,4.30258E-05,0.061816335,0.118687636
Base,364,0.05,1,5000,-106572457,159298795,9829509,8277367,165547.34,9829509,7129936,722141,77298,7,9762617,1526757,8277367,9804124,4880046.883,75974.90495,5262.176758,5596.072967,648.717033,0.023131868,0.015569162,0.069291582,0.070708791,0.006745701,2.40296E-07,0.725478321,0.070508573,0.006228877,5.49908E-07,0.040285525,0.118458824
