Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-92498801,736373015,9112084,1377961,27559.22,9112084,6416433,127924,129645,4,8980430,7684497,1377961,9062458,4880102.078,71299.46973,1192.02033,69572.21313,1048.240769,1078.574341,0.031648352,0.014610467,0.016700806,0.012835658,0.015689411,4.17381E-07,0.703987358,0.012290605,0.014772122,4.09766E-07,0.009335972,0.835034529
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-107005177,876488948,9951021,7494967,149899.34,9951021,6932172,108522,128957,0,9871688,2419049,7494967,9914016,4883532.812,47060.91907,4890.739066,41585.72555,667.6562088,640.1864286,0,0.009638098,0.103912895,0.010089013,0.011032297,0,0.696796748,0.007912704,0.010543025,0,0.010189615,0.174256332
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-114244440,40705119,10500243,9242010,184840.2,10500243,6806625,360368,113623,0,10433979,1227575,9242010,10469585,4875550.619,68153.74297,843.8367582,66693.2683,2364.910495,851.1583516,0.008241758,0.013978961,0.012379405,0.034857591,0.01223062,1.27736E-07,0.647561161,0.034626666,0.010626274,0,0.010768243,0.117741581
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-164440407,1777411718,15315409,11286317,225726.34,15315409,10457015,129077,185405,1266,15147293,3949469,11286317,15235786,4879342.891,105215.2727,1153.765495,103162.0698,1034.573791,1774.885879,12.03598901,0.021563572,0.011001047,0.010835075,0.017217462,0.000114997,0.682538506,0.009323904,0.012555378,8.49424E-05,0.015694098,0.285713747
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-120474303,1750264445,11034793,10126373,202527.46,11034793,7722982,102637,129838,0,10988310,891896,10126373,11018269,4874433.092,59773.1078,4166.308352,54958.80989,630.823022,764.3635165,0.00010989,0.012263054,0.069674044,0.010892862,0.013145783,2.83187E-09,0.699498004,0.009625882,0.012179919,0,0.011319348,0.083645487
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-82185654,243577281,7799535,4190304,83806.08,7799535,5561745,157558,145839,2649,7631669,3536381,4190304,7726685,4878957.377,67864.12747,1173.091154,66232.8811,1640.25,1345.910385,23.78137363,0.013909319,0.017202167,0.017966522,0.018562897,0.000315836,0.713117565,0.015108463,0.017496668,0.000306743,0.007992768,0.361452369
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-131051364,1659466738,12333647,7714894,154297.88,12333647,8782767,131937,91370,40,12290355,4602058,7714894,12316952,4877024.438,72409.09692,3417.966593,68266.79896,772.2424176,556.0163736,0.236923077,0.01484709,0.047194456,0.010315896,0.007608502,3.22852E-06,0.712046113,0.010358466,0.007354732,3.1433E-06,0.012644598,0.36338307
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-155290204,259068172,14769241,7597794,151955.88,14769241,10756804,205367,227630,201812,14458773,7041003,7597794,14638797,4875959.976,109870.051,1406.350165,107596.3526,2205.20011,2071.56989,1834.784615,0.022533302,0.012761342,0.02038171,0.017241682,0.014995876,0.728420003,0.014333164,0.014259503,0.012463471,0.015145124,0.498235504
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-182359133,311343939,16756954,14789593,295791.86,16756954,10783128,138725,381185,113,16637842,1919871,14789593,16709464,4881665.58,168067.5279,3122.097363,163961.4566,1473.566099,3878.995604,1.322307692,0.034426717,0.018694605,0.011389877,0.024469829,8.72184E-06,0.643686763,0.010733896,0.024104976,7.4082E-06,0.017162391,0.15807445
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-153284200,214621422,14150848,11775720,235514.4,14150848,9993504,114667,484358,431294,14034237,2324018,11775720,14099738,4876223.91,64047.2467,1202.168681,62014.0028,849.485989,2201.236154,1961.360385,0.013134858,0.01876425,0.013168405,0.034198831,0.030162915,0.705914517,0.008348726,0.034031119,0.030037653,0.014510147,0.178203959
