Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-135299961,613080287,12508899,10210971,204219.42,12508899,8832585,750182,129531,0,12455352,2279332,10210971,12490303,4878322.032,108820.2756,4165.534341,103920.1237,6490.912033,1186.546703,0.000824176,0.022306693,0.038321797,0.059248149,0.011345046,1.03545E-08,0.706184871,0.059492763,0.010782125,0,0.051283791,0.182488127
Base,364,0.05,1,5000,-81511392,2131213911,8052056,990832,19816.64,8052056,5622566,252095,122114,0,7996803,7043414,990832,8034246,4879212.958,86317.54082,2063.216264,83781.415,2734.175824,1301.031923,0,0.017690996,0.023889142,0.031406832,0.014991781,0,0.698291706,0.031083588,0.015092566,0,0.033005281,0.876673928
Base,364,0.05,1,5000,-117888838,1597740570,10867326,9215578,184311.56,10867326,6786065,625201,198683,2,10787939,1615746,9215578,10831324,4876092.4,72029.32143,4513.221374,66877.79973,4163.81022,1370.308846,0.017087912,0.014771734,0.062665559,0.056835656,0.017217843,2.1495E-07,0.624535549,0.056674607,0.016629755,1.64794E-07,0.04457393,0.149173453
Base,364,0.05,1,5000,-82008019,1800033031,7786105,4146969,82939.38,7786105,5662119,534809,66129,0,7725391,3620100,4146969,7767069,4878399.082,56569.73604,4058.530989,52053.7883,3868.475275,494.8516484,0.003846154,0.011596427,0.071753329,0.071498391,0.008366938,5.84726E-08,0.727355269,0.071900162,0.008139236,0,0.031921003,0.466083152
Base,364,0.05,1,5000,-113254237,1712220852,10798005,5274187,105483.74,10798005,7170691,843919,288412,1,10719421,5492858,5274187,10767045,4882469.139,128121.0492,4089.417582,123397.4741,9984.256319,3427.356538,0.003351648,0.026239973,0.031938366,0.075499669,0.025420494,2.94687E-08,0.66417675,0.075789335,0.025404775,9.26724E-08,0.044229606,0.510154643
Base,364,0.05,1,5000,-156896504,1499891447,14642576,10470744,209414.88,14642576,9209099,2279330,29516,154107,14516557,4122051,10470744,14592795,4878575.587,77561.30951,1460.592363,75240.80033,11948.33357,171.0441209,894.5895055,0.015898368,0.018774453,0.152772639,0.002010984,0.010488606,0.628977448,0.154439385,0.001863844,0.009715088,0.060027794,0.282471658
Base,364,0.05,1,5000,-112588247,1385867502,11258788,367,7.34,11258788,8211699,584909,696,0,11235964,11250141,367,11250508,4880615.945,112344.0225,4909.129945,106773.5747,5804.444396,7.687307692,0.021373626,0.023018743,0.043697823,0.051650068,6.5447E-05,1.92978E-07,0.729356357,0.051952094,5.88331E-05,0,0.046137237,0.999967379
Base,364,0.05,1,5000,-109970316,1639252899,10099680,8973516,179470.32,10099680,7062630,771814,160324,0,10046246,1105559,8973516,10079075,4878155.923,51150.6744,5215.072692,45342.48714,3864.378681,839.7887363,0,0.010485444,0.101927208,0.076618354,0.01236886,0,0.699430329,0.077521899,0.012016983,0,0.041406449,0.109688538
Base,364,0.05,1,5000,-123366273,2026872619,11336466,10001613,200032.26,11336466,7115071,689895,59106,0,11289129,1313264,10001613,11314877,4881578.048,87487.08187,3029.039286,83792.20841,5265.753571,502.8195604,0.000164835,0.017921311,0.034629411,0.060891413,0.00642953,3.95855E-09,0.627612209,0.061573206,0.005844297,0,0.046444072,0.116065248
Base,364,0.05,1,5000,-100802244,1400047721,9302190,7780344,155606.88,9302190,6636855,121937,75955,0,9251897,1500797,7780344,9281141,4878969.972,38540.09473,1603.966813,36389.83038,519.2484066,350.9154396,0,0.007899836,0.041589327,0.01076551,0.006017616,0,0.713820859,0.01060115,0.005430666,0,0.03813363,0.161703933
Base,364,0.05,1,5000,-124181068,746376575,11607773,8103338,162066.76,11607773,8483473,881902,96445,2,11516289,3471775,8103338,11575113,4878890.353,119612.0549,4578.266703,114352.1555,9034.999615,1159.411209,0.044945055,0.024516297,0.038273021,0.075561341,0.009529579,3.72887E-07,0.730850884,0.07602162,0.008198129,1.70009E-07,0.047583624,0.299934437
Base,364,0.05,1,5000,-91632004,1762439271,8515702,6474984,129499.68,8515702,6216472,529356,63309,1,8457668,2019373,6474984,8494357,4877613.081,50374.03154,857.1042308,49016.70137,3105.176484,433.6657692,0.008626374,0.010327589,0.01695639,0.062556488,0.006625993,1.32915E-07,0.730142084,0.063139253,0.005759321,8.95151E-08,0.034917102,0.23773112
Base,364,0.05,1,5000,-118049882,12875437,10862720,9422682,188453.64,10862720,7002861,1027924,127176,0,10788304,1406166,9422682,10828848,4881242.001,90507.26819,4722.020385,85147.41863,8511.942582,1103.130824,0,0.018543228,0.05218044,0.093456847,0.009978384,4.52168E-10,0.644785681,0.094114096,0.009606447,0,0.04451014,0.129853702
Base,364,0.05,1,5000,-57051494,1554108050,5368205,3369444,67388.88,5368205,3673504,323674,100836,0,5308950,1976383,3369444,5345827,4878300.181,60687.68808,2729.582692,57642.72945,3654.28544,1194.791154,0.000769231,0.012439874,0.044993849,0.05960507,0.017355549,9.2036E-09,0.684818891,0.059746026,0.016647533,0,0.022007394,0.369705754
Base,364,0.05,1,5000,-147880554,835989797,14186833,6012224,120244.48,14186833,10054564,914689,235291,3,14066867,8133572,6012224,14145796,4880851.222,102804.5055,7275.104451,94696.23505,6595.586319,1751.938901,0.029395604,0.021063221,0.070767194,0.064155311,0.017404937,2.93464E-07,0.708739051,0.064498483,0.016951029,2.14472E-07,0.058132687,0.57498157
Base,364,0.05,1,5000,-89715161,1110050427,8278798,6927181,138543.62,8278798,5647334,481287,568826,1,8232315,1335816,6927181,8262997,4879609.17,68358.99769,2288.295165,65584.41665,3966.648132,4713.376374,0.00043956,0.014009154,0.033464001,0.058226255,0.067528297,7.68421E-09,0.682165558,0.058342024,0.067357744,1.15158E-07,0.033932239,0.161662409
Base,364,0.05,1,5000,-97924915,1384333831,9703282,892095,17841.9,9703282,6865915,368231,126779,5,9643048,8789011,892095,9681106,4877732.694,94298.82324,4719.493846,89009.40863,3546.332363,1211.486429,0.057362637,0.019332796,0.05004768,0.037936913,0.011592409,6.37834E-07,0.707568823,0.03827805,0.011801933,5.20106E-07,0.039787087,0.907851954
Base,364,0.05,1,5000,-71538878,1008246441,6612907,5409808,108196.16,6612907,4572128,282296,84475,0,6565818,1184517,5409808,6594325,4874868.809,76573.34231,2072.138516,74112.68473,3264.407692,989.3409341,0.00021978,0.015707214,0.027015338,0.041963656,0.011420008,3.31973E-09,0.691421866,0.042058325,0.011300512,0,0.027129663,0.179626724
