Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
65,1553398723,0,1,-1,1000,0.05,0.05,1,0.894686891,0.784516475,0.577622402,0.313829845,0.313829845,0.313829845,0.313829845,1.14157E-05,1.0614E-05,0.861853314,0.861853314,0,3.023415953,2.705010618,2.371919626,1.746392786,3.023415953,2.705010618,2.371919626,1.746392786,0.024626217,0.018968196,0.03474611,0.03474611,0.975373783,0.981031804,0.930507781,0.96525389,10000000,9753737.826,4346.540601,162.3042597,162.3042597,0,224802.328,8394.348238,8394.348238,0,0.646393577,1.888282135,0.03281584,0.025956596,1.547045074,0.529581879,30.47308857,38.52585232
66,890982834,0,1,-1,1000,0.05,0.05,1,0.542108799,0.808549638,0.639364143,0.285647493,0.285647493,0.285647493,0.285647493,5.81691E-06,1.41459E-05,0.976093284,0.976093284,0,3.885157472,2.10617805,3.141342666,2.484030375,3.885157472,2.10617805,3.141342666,2.484030375,0.026110945,0.01555111,0.00507075,0.00507075,0.973889055,0.98444889,0.989858499,0.99492925,10000000,9738890.55,4019.36182,20.58999345,20.58999345,0,254442.0466,1303.43082,1303.43082,0,0.418388454,2.460229215,0.029538859,0.010619073,2.390123316,0.406466192,33.85371083,94.17017676
67,1877682305,0,1,-1,1000,0.05,0.05,1,0.789426474,0.79213146,0.888721719,0.331993912,0.331993912,0.331993912,0.331993912,7.91369E-06,9.86409E-06,0.857392906,0.857392906,0,2.941922019,2.322431126,2.330388983,2.614549994,2.941922019,2.322431126,2.330388983,2.614549994,0.023885489,0.013115951,0.030154428,0.030154428,0.976114511,0.986884049,0.939691144,0.969845572,10000000,9761145.106,2943.872851,94.46806261,94.46806261,0,221505.956,7108.064642,7108.064642,0,0.713759193,1.834818203,0.021775757,0.035640472,1.401032743,0.545013124,45.92262803,28.05798963
68,1262551815,0,1,-1,1000,0.05,0.05,1,0.751076469,0.98710117,0.729053264,0.402225719,0.402225719,0.402225719,0.402225719,1.4258E-05,8.74467E-06,0.908809525,0.908809525,0,2.626344708,1.972585709,2.592467935,1.914745182,2.626344708,1.972585709,2.592467935,1.914745182,0.026324217,0.014025633,0.010062154,0.010062154,0.973675783,0.985974367,0.979875691,0.989937846,10000000,9736757.827,3617.836453,37.15086446,37.15086446,0,254326.7701,2611.632529,2611.632529,0,0.921908736,2.110742785,0.017616259,0.019133334,1.084706068,0.473766869,56.76574149,52.26480714
69,1895688611,0,1,-1,1000,0.05,0.05,1,0.848272177,0.7026137,0.549664943,0.36338213,0.36338213,0.36338213,0.36338213,1.01453E-05,8.15885E-06,0.88335686,0.88335686,0,2.579584946,2.188190137,1.812451722,1.417907411,2.579584946,2.188190137,1.812451722,1.417907411,0.027257406,0.010787911,0.022347038,0.022347038,0.972742594,0.989212089,0.955305924,0.977652962,10000000,9727425.94,2809.081475,65.7115686,65.7115686,0,257582.5329,6025.511339,6025.511339,0,0.823656627,2.317955525,0.03332396,0.037718139,1.214098166,0.431414662,30.00843839,26.51244248
70,883787573,0,1,-1,1000,0.05,0.05,1,0.868606543,0.558984757,0.546200876,0.381720853,0.381720853,0.381720853,0.381720853,1.10501E-05,1.36863E-05,0.93466107,0.93466107,0,2.48009817,2.154229499,1.386337073,1.354631792,2.48009817,2.154229499,1.386337073,1.354631792,0.022715641,0.010674431,0.008822678,0.008822678,0.977284359,0.989325569,0.982354645,0.991177322,10000000,9772843.592,2381.979557,21.39292344,21.39292344,0,220766.1727,1982.734829,1982.734829,0,0.975594839,2.142538826,0.035478633,0.030398439,1.025015672,0.466735999,28.18597894,32.89642577
71,114772215,0,1,-1,1000,0.05,0.05,1,0.944852407,0.518932997,0.990252946,0.42182577,0.42182577,0.42182577,0.42182577,5.63787E-06,8.00413E-06,0.825288638,0.825288638,0,2.756500824,2.604486438,1.430439235,2.72963306,2.756500824,2.604486438,1.430439235,2.72963306,0.023440831,0.003094577,0.005791524,0.005791524,0.976559169,0.996905423,0.988416951,0.994208476,10000000,9765591.69,716.9922975,4.201140411,4.201140411,0,230976.1548,1353.38031,1353.38031,0,0.898292483,1.956630244,0.027838399,0.022602725,1.113223164,0.511082767,35.92160623,44.24245227
72,624308827,0,1,-1,1000,0.05,0.05,1,0.619786482,0.822226585,0.523629085,0.385200179,0.385200179,0.385200179,0.385200179,8.92414E-06,6.77903E-06,0.893108663,0.893108663,0,3.119379396,1.933349183,2.564836668,1.633397779,3.119379396,1.933349183,2.564836668,1.633397779,0.023389028,0.007621292,0.022096819,0.022096819,0.976610972,0.992378708,0.955806362,0.977903181,10000000,9766109.722,1703.768939,39.38859944,39.38859944,0,221850.0464,5128.84254,5128.84254,0,0.712605686,1.949798493,0.025650915,0.029618813,1.403300619,0.512873512,38.98496366,33.76232536
73,106381169,0,1,-1,1000,0.05,0.05,1,0.925379211,0.742163731,0.879334429,0.396038701,0.396038701,0.396038701,0.396038701,1.2031E-05,1.20424E-05,0.898024549,0.898024549,0,2.99681721,2.773192345,2.224129043,2.635204549,2.99681721,2.773192345,2.224129043,2.635204549,0.020139043,0.00484757,0.018325247,0.018325247,0.979860957,0.99515243,0.963349506,0.981674753,10000000,9798609.57,940.4739481,17.89009849,17.89009849,0,193068.8976,3672.639312,3672.639312,0,0.820937822,1.77628263,0.021718012,0.015436342,1.21811905,0.562973472,46.04473101,64.7821862
74,1820660342,0,1,-1,1000,0.05,0.05,1,0.61752564,0.948598762,0.824373794,0.310923233,0.310923233,0.310923233,0.310923233,1.12436E-05,1.19958E-05,0.945971763,0.945971763,0,3.04410575,1.879813351,2.887634947,2.509481006,3.04410575,1.879813351,2.887634947,2.509481006,0.025011645,0.015274328,0.012805736,0.012805736,0.974988355,0.984725672,0.974388527,0.987194264,10000000,9749883.548,3722.515682,48.9225328,48.9225328,0,239988.0859,3154.002832,3154.002832,0,0.669650061,1.845199708,0.003648454,0.020124699,1.493317268,0.541946758,274.0887139,49.69018475
