Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,WTP,R_t Switch threshold if social distancing is off,R_t Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Case-fatality,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-841936472.2,1662654181,8495.490385,417161953,41716195.3,2,66731,2994,926,1411,485,926,66731,485,1411,80.95106383,1.827659574,2.840425532,51165.95957,580.9361702,4.819148936,99003.74043,0.515804552,0.005837626,4.99876E-05,0.343727853,0.021144595,68,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1010149316,182136456,11391.6818,440565225.6,44056522.56,2,91721,4112,893,1892,999,893,91721,999,1892,257.1840796,4.353233831,9.248756219,34234.20398,1580.402985,13.67164179,98737.96517,0.345179657,0.015871719,0.000139261,0.528012685,0.020627773,29,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-510805827.8,979575387,8749.985431,73306556.27,7330655.627,0,73446,3306,1071,1453,382,1071,73446,382,1453,114.510929,2.81420765,3.816939891,60939.7541,1352.377049,6.759562842,99283.5929,0.611757537,0.013584382,6.92741E-05,0.262904336,0.019783242,53,0
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1027978452,2142525414,11935.07559,431224672.8,43122467.28,2,87352,3675,742,1983,1241,742,87352,1241,1983,197.4892704,3.08583691,8.364806867,36514.45064,1467.519313,11.53218884,98659.44635,0.368067866,0.014750291,0.000117659,0.625819465,0.022701255,34,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-941563538.4,1464057597,10223.33957,430396560.1,43039656.01,2,83766,3678,932,1698,766,932,83766,766,1698,173.6920152,3.414448669,6.285171103,44373.39163,1189.030418,9.847908745,98947.28517,0.44650216,0.011944226,0.000100515,0.451118963,0.02027148,38,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-967231621.2,364562610,10769.19324,428771959.3,42877195.93,2,82816,3597,667,1789,1122,667,82816,1122,1789,187.7447699,2.656903766,7.309623431,37141.06695,1172.343096,10.12133891,98715.76151,0.374874219,0.011774036,0.000103283,0.627166015,0.021602106,35,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-998085728,40350784,11346.41039,430765208.7,43076520.87,2,84194,3609,755,1885,1130,755,84194,1130,1885,195.2425532,3.093617021,7.85106383,39446.3617,1381.344681,11.06382979,98731.22979,0.397670777,0.013878342,0.000112971,0.599469496,0.022388769,34,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-869197286,804064356,8805.433612,428925605.4,42892560.54,2,79266,3660,559,1462,903,559,79266,903,1462,162.0142349,1.871886121,5.060498221,36765.58719,816.3701068,7.021352313,98884.13167,0.37108151,0.008190822,7.22086E-05,0.617647059,0.018444226,41,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-858473779.2,2125493986,8920.236853,412461936.6,41246193.66,2,66257,2807,635,1482,847,635,66257,847,1482,107.1363636,1.772727273,4.324242424,47940.3697,632.8484848,6.236363636,98872.17879,0.484124109,0.006355704,6.44412E-05,0.571524966,0.022367448,48,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-846743127.3,23154253,8408.295375,426328358.6,42632835.86,2,76298,3437,670,1396,726,670,76298,726,1396,159.2355072,2.27173913,4.876811594,41714.22464,737.1557971,7.347826087,98987.65942,0.420564515,0.007393588,7.51243E-05,0.520057307,0.018296679,40,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-558924058.9,1391367689,9752.159013,71316108.24,7131610.824,0,75735,3244,877,1620,743,877,75735,743,1620,154.5703422,3.216730038,5.996197719,55303.64259,972.9391635,9.338403042,99103.77947,0.555887137,0.009771367,9.53439E-05,0.458641975,0.021390374,38,0
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-869055981.4,574142276,8988.680741,419621944.4,41962194.44,2,73196,3175,792,1493,701,792,73196,701,1493,112.9371429,2.14,4.117142857,45266.86,961.7685714,6.377142857,98931.4,0.456416705,0.009660408,6.56083E-05,0.469524447,0.020397289,50,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-798107683.7,898736779,7819.654,407124983.7,40712498.37,2,59012,2557,1001,1299,298,1001,59012,298,1299,61.08221797,1.770554493,2.326959847,61933.35755,837.7801147,4.256214149,99194.63671,0.623099297,0.008417334,4.41772E-05,0.229407236,0.022012472,75,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-916837713.1,346473503,9476.759632,442999731.5,44299973.15,2,90375,4294,954,1573,619,954,90375,619,1573,210.8779528,3.625984252,6.015748031,40489.01575,2018.279528,9.787401575,99046.26378,0.406962539,0.020257531,9.99157E-05,0.393515575,0.017405256,37,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-995677724,445552282,11209.84901,435185273.6,43518527.36,2,87168,3934,1138,1862,724,1138,87168,724,1862,180.3033708,4.142322097,6.782771536,45928.27341,1866.94382,11.05243446,98931.24719,0.461884829,0.018772059,0.000113025,0.388829216,0.02136105,38,4
