Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,Periodicity (weeks),WTP,# CC Switch threshold if social distancing is off,# CC Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Length of Epidemic,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: Hospitalized,Total: ICU-Queue,Total: ICU,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % served in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Hospitalization rate,Average ratio: Deth rate,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17205.00022,106202474,17205,11,3.666666667,4,2.93956044,452423,44933,8096,22134,14036,3169,452423,44933,22134,8096,14036,17205,514.0412088,48.3452381,69.88919414,701713.9341,3161.642857,118.4148352,988787.5082,0.708501317,0.003186572,0.000119643,0.365772115,0.815809358,0.000290616,0.000111267,153,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16469.00022,158747485,16469,11,3.666666667,4,2.958791209,459668,47944,8379,21883,13504,2965,459668,47944,21883,8379,13504,16469,569.7124542,53.76098901,75.36630037,692340.1154,2887.779304,129.2838828,988995.5952,0.698961791,0.002910004,0.000130577,0.382899968,0.819964782,0.000310033,0.000106467,154,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-24411.00014,366625053,24411,7,2.333333333,2,2.92032967,626944,66785,7223,28588,21365,3046,626944,66785,28588,7223,21365,24411,852.6794872,39.33608059,85.04578755,553058.1419,4222.563187,124.4679487,983071.0027,0.560327345,0.00426987,0.000126094,0.252658458,0.875220188,0.000433427,0.000158462,152,7
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17763.00026,1465422116,17763,13,4.333333333,4,2.92032967,507127,49722,7585,22466,14881,2882,507127,49722,22466,7585,14881,17763,619.1794872,44.82417582,67.97527473,620856.576,2695.703297,112.9716117,986769.7555,0.628116004,0.002718225,0.000114216,0.337621294,0.837752632,0.000321763,0.000114919,152,13
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-22133.00024,908619552,22133,12,4,4,2.958791209,526422,49938,9840,28668,18828,3305,526422,49938,28668,9840,18828,22133,632.2564103,52.23443223,79.30952381,609976.174,3361.907509,131.6538462,983590.12,0.61883208,0.003398339,0.000133396,0.343239849,0.850675462,0.000323944,0.000143507,154,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17344.0002,811587135,17344,10,3.333333333,4,2.978021978,486870,45970,8700,22813,14113,3231,486870,45970,22813,8700,14113,17344,498.0650183,58.91117216,72.46428571,660179.9359,2706.641941,131.510989,987848.6273,0.667284499,0.002729015,0.00013293,0.381361504,0.813710793,0.000297434,0.000112174,155,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-14945.00022,1233061610,14945,11,3.666666667,4,2.92032967,448072,45068,7868,20305,12436,2509,448072,45068,20305,7868,12436,14945,523.4166667,54.20421245,76.36172161,707381.2821,3409.355311,130.7252747,990263.9066,0.713394781,0.00343265,0.000131903,0.387490766,0.832117765,0.000291179,9.65349E-05,152,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16588.00022,1747817354,16588,11,3.666666667,4,2.92032967,476530,46389,10228,22906,12678,3910,476530,46389,22906,10228,12678,16588,517.4020147,65.70970696,85.40567766,696487.2033,3567.40293,151.2179487,989432.0238,0.702904176,0.003595189,0.0001527,0.446520562,0.764287437,0.000299992,0.000107233,152,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-21773.00012,1570157636,21773,6,2,2,2.997252747,562094,60566,8055,26856,18801,2972,562094,60566,26856,8055,18801,21773,723.025641,43.54304029,80.01648352,616523.6484,4105.209707,123.6593407,985638.924,0.623640869,0.004145528,0.000125111,0.299932976,0.863500666,0.000392505,0.000141131,156,6
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19037.0001,815714656,19037,5,1.666666667,2,2.997252747,569290,55326,5820,22770,16950,2087,569290,55326,22770,5820,16950,19037,662.8369963,38.47710623,90.16849817,609716.2903,3650.00641,128.7124542,987327.2289,0.61584367,0.003680611,0.00013,0.255599473,0.890371382,0.000358033,0.000123231,156,5
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-13914.00028,1738444546,13914,14,4.666666667,4,2.978021978,454475,48772,8094,19286,11192,2722,454475,48772,19286,8094,11192,13914,499.1401099,44.55952381,79.24725275,689555.8718,3347.827839,123.9880952,990616.6465,0.695223404,0.003368483,0.00012502,0.419682671,0.8043697,0.000314893,8.98294E-05,155,14
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17875.00026,1087093987,17875,13,4.333333333,4,2.92032967,489695,50466,9498,23658,14160,3715,489695,50466,23658,9498,14160,17875,621.6968864,59.3525641,79.78571429,665431.2418,3189.157509,139.253663,987772.5476,0.672527138,0.003216335,0.000140768,0.401470961,0.792167832,0.000326601,0.000115637,152,13
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16216.0002,1518914374,16216,10,3.333333333,4,2.958791209,488011,49109,10654,23482,12826,3390,488011,49109,23482,10654,12826,16216,523.4551282,61.63553114,72.44230769,676339.9222,3451.835165,134.2307692,989120.8251,0.682792365,0.003478793,0.000135581,0.453709224,0.790947213,0.000317583,0.000104813,154,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17682.00022,1582607114,17682,11,3.666666667,4,2.901098901,507184,50323,9912,24291,14379,3303,507184,50323,24291,9912,14379,17682,554.1336996,64.00274725,83.05586081,674343.7711,3462.034799,147.1758242,988651.7253,0.680918634,0.003491132,0.000148718,0.408052365,0.813199864,0.000325627,0.000114371,151,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15287.0002,979659799,15287,10,3.333333333,4,2.901098901,463542,44719,8081,20473,12392,2895,463542,44719,20473,8081,12392,15287,458.018315,41.02472527,69.29304029,667502.0824,3125.779304,110.5082418,989078.0577,0.67400005,0.003147509,0.000111562,0.39471499,0.810623406,0.000288962,9.87681E-05,151,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-20583.00014,1138243570,20583,7,2.333333333,2,2.92032967,552946,55979,8400,25945,17545,3038,552946,55979,25945,8400,17545,20583,688.9734432,42.47893773,84.43131868,626710.424,4048.552198,126.9945055,986491.1685,0.633530482,0.004086549,0.000128411,0.323761804,0.852402468,0.000362612,0.000133339,152,7
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19312.00022,82546954,19312,11,3.666666667,4,2.901098901,467372,49204,10579,25990,15409,3903,467372,49204,25990,10579,15409,19312,611.7600733,64.14010989,80.48717949,699688.913,3333.15293,144.7554945,987469.9176,0.707321181,0.003364491,0.000146454,0.40704117,0.79789768,0.000318716,0.000125024,151,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19353.00022,2056763840,19353,11,3.666666667,4,2.901098901,538626,52814,9523,25640,16117,3236,538626,52814,25640,9523,16117,19353,629.7335165,56.45787546,77.54945055,628098.0092,3350.03663,134.1098901,986667.5037,0.635243371,0.003381215,0.000135672,0.371411856,0.832790782,0.000342075,0.000125295,151,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-21835.00012,1164618691,21835,6,2,2,2.958791209,563808,55632,8056,26875,18819,3016,563808,55632,26875,8056,18819,21835,538.1620879,42.55494505,98.28296703,605543.87,3736.229853,140.9304029,985216.0357,0.612828683,0.003772605,0.000142555,0.29975814,0.861873139,0.000360492,0.000141543,154,6
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16860.00022,840799107,16860,11,3.666666667,4,2.93956044,476188,49204,8933,22703,13770,3090,476188,49204,22703,8933,13770,16860,560.4587912,52.62179487,75.85805861,670631.5119,3491.745421,128.6510989,988348.3709,0.677466516,0.003519525,0.000129985,0.393472228,0.816725979,0.000318261,0.000109017,153,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-14668.00022,581180412,14668,11,3.666666667,4,2.997252747,490904,51645,11931,22341,10409,4259,490904,51645,22341,11931,10409,14668,556.6684982,56.17582418,71.40201465,672612.4002,3148.6337,127.728022,990144.9634,0.678411055,0.003170554,0.000128873,0.534040553,0.709640033,0.000333684,9.47309E-05,156,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16883.00022,635833343,16883,11,3.666666667,4,2.978021978,462530,44863,9718,23062,13344,3539,462530,44863,23062,9718,13344,16883,448.9981685,55.2985348,72.29578755,692128.0302,3244.190476,127.7564103,988724.7152,0.698918159,0.003270366,0.000129079,0.42138583,0.790380856,0.000290204,0.000109167,155,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16188.00024,1689713859,16188,12,4,4,2.93956044,489811,51897,7680,21254,13574,2614,489811,51897,21254,7680,13574,16188,545.3342491,44.73260073,71.60531136,634976.2399,3129.915751,116.5082418,988043.0998,0.641740844,0.00315301,0.000117668,0.361343747,0.838522362,0.000335508,0.000104641,153,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-14348.00028,22550945,14348,14,4.666666667,4,2.958791209,464890,50916,8402,20439,12037,2311,464890,50916,20439,8402,12037,14348,569.1904762,54.46611722,83.16941392,678294.8535,3070.512821,137.8031136,990039.1969,0.684273659,0.003090921,0.000139021,0.411076863,0.838932255,0.000328889,9.26527E-05,154,14
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16630.00028,49616613,16630,14,4.666666667,4,2.978021978,477243,43940,7581,21623,14042,2588,477243,43940,21623,7581,14042,16630,503.1913919,50.00732601,83.88644689,674631.381,3626.852564,134.0567766,988789.37,0.681156452,0.003654351,0.000135359,0.350598899,0.844377631,0.000284117,0.000107515,155,14
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-20862.00022,12601713,20862,11,3.666666667,4,2.958791209,528088,50421,10802,27575,16773,4089,528088,50421,27575,10802,16773,20862,663.4835165,59.86538462,79.78663004,660805.1914,3168.577839,139.7710623,986653.3727,0.668215275,0.00320041,0.000141496,0.391731641,0.803997699,0.000326824,0.000135163,154,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16446.00018,1620400365,16446,9,3,4,2.92032967,464523,47292,8860,21992,13129,3317,464523,47292,21992,8860,13129,16446,547.6236264,53.83424908,68.96520147,678415.7088,2899.836996,122.9761905,988522.2353,0.68530225,0.002922638,0.000124249,0.402873772,0.798309619,0.000305868,0.000106321,152,9
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15332.00022,1731911937,15332,11,3.666666667,4,2.93956044,479928,49796,9510,21881,12370,2962,479928,49796,21881,9510,12370,15332,571.2802198,61.35714286,76.78754579,678729.2509,3482.075092,138.2994505,989583.3764,0.68491478,0.003507756,0.000139639,0.434623646,0.806809288,0.000321886,9.90566E-05,153,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19414.00024,1452845254,19414,12,4,4,2.997252747,513200,48979,11473,26835,15362,4052,513200,48979,26835,11473,15362,19414,562.4221612,62.77747253,83.72435897,654753.3333,3711.369048,146.6190476,986981.8819,0.662144309,0.003745807,0.000148315,0.427538662,0.79128464,0.000317231,0.000125687,156,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15774.0002,16722892,15774,10,3.333333333,4,2.93956044,481568,46189,11433,22964,11530,4244,481568,46189,22964,11433,11530,15774,516.2619048,56.44505495,69.83699634,676496.1923,3349.788462,126.4304029,989240.6071,0.682895033,0.003375314,0.000127668,0.497866225,0.730949664,0.000298664,0.000101936,153,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15613.00018,1632121461,15613,9,3,4,2.92032967,500010,54471,8805,21690,12885,2728,500010,54471,21690,8805,12885,15613,633.2005495,56.39835165,69.91025641,647986.3443,3333.842491,126.4285714,989001.2674,0.654262391,0.003358284,0.00012765,0.405947441,0.82527381,0.000352119,0.000100888,152,9
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-18614.00022,385017288,18614,11,3.666666667,4,2.997252747,533461,54776,10133,25274,15141,3473,533461,54776,25274,10133,15141,18614,652.1318681,57.67399267,77.6492674,631406.8736,3956.6337,135.4331502,987087.4908,0.638379536,0.003992385,0.000136999,0.400925853,0.813420006,0.000354693,0.000120467,156,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15781.00018,1744374780,15781,9,3,4,2.997252747,497989,52264,9531,22101,12570,3211,497989,52264,22101,9531,12570,15781,590.7893773,53.06501832,64.91025641,643762.7179,2274.784799,118.1300366,988635.8819,0.65024438,0.002291971,0.000119318,0.431247455,0.79652747,0.00033792,0.000101986,156,9
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19549.00026,683948839,19549,13,4.333333333,4,2.978021978,467526,46139,7061,23755,16694,2855,467526,46139,23755,7061,16694,19549,498.3800366,39.46886447,81.63461538,655768.9963,3248.841575,121.2554945,985913.6346,0.663955134,0.00327749,0.000122577,0.297242686,0.853956724,0.000298728,0.000126585,155,13
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19092.00024,1062285326,19092,12,4,4,2.881868132,466809,47209,7455,23814,16359,2733,466809,47209,23814,7455,16359,19092,482.9358974,42.79120879,74.57783883,659726.6749,2360.625458,117.53663,986272.8672,0.667732067,0.002381435,0.000118874,0.313051146,0.856851037,0.000305643,0.000123597,150,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15835.00024,10600875,15835,12,4,4,2.978021978,459306,44976,9405,22378,12973,2862,459306,44976,22378,9405,12973,15835,529.6794872,52.28754579,78.07692308,693522.8507,3241.625458,130.5238095,989396.8516,0.699917329,0.003265805,0.000131787,0.420278845,0.81926113,0.000290764,0.000102335,155,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-20501.00022,1959458789,20501,11,3.666666667,4,2.93956044,503643,49245,9518,26383,16865,3636,503643,49245,26383,9518,16865,20501,502.764652,60.8489011,86.32417582,673725.6896,3163.825092,147.3021978,986769.8516,0.681338408,0.003194908,0.000149062,0.360762612,0.822642798,0.000319109,0.000132799,153,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17961.00022,1734222402,17961,11,3.666666667,4,2.93956044,479882,51935,10530,24200,13670,4291,479882,51935,24200,10530,13670,17961,615.7619048,60.08058608,66.96336996,671453.1694,2797.099817,127.1721612,987639.9496,0.678792828,0.002821207,0.000128589,0.435123967,0.76109348,0.000336141,0.000116201,153,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19041.00026,1069720180,19041,13,4.333333333,4,2.997252747,497799,54027,11706,26693,14987,4054,497799,54027,26693,11706,14987,19041,568.1868132,57.14835165,77.6456044,664632.3755,3658.717033,134.9102564,987052.6245,0.672114736,0.003692941,0.000136476,0.43854194,0.787091014,0.000349927,0.000123254,156,13
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19784.00014,1344733502,19784,7,2.333333333,2,2.958791209,567123,57510,7645,25347,17702,2082,567123,57510,25347,7645,17702,19784,759.6575092,42.87362637,100.9294872,611267.6538,3881.336081,143.8864469,986881.6951,0.617677504,0.003915319,0.000145401,0.301613603,0.894763445,0.000372302,0.00012811,154,7
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-18472.00022,1897048322,18472,11,3.666666667,4,2.958791209,507205,50003,9705,24917,15212,3260,507205,50003,24917,9705,15212,18472,607.1153846,62.01007326,85.15384615,667781.25,3315.845238,147.2655678,987849.8883,0.674750252,0.003345361,0.000148892,0.389493117,0.823516674,0.000323734,0.000119534,154,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-18226.00022,72967805,18226,11,3.666666667,4,2.93956044,508066,50893,10544,24811,14267,3959,508066,50893,24811,10544,14267,18226,513.1739927,58.8040293,71.56959707,649184.7811,2722.330586,130.5173993,987316.8681,0.656400582,0.002746387,0.000131993,0.424972794,0.782782838,0.000329475,0.000117933,153,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16974.00022,492961685,16974,11,3.666666667,4,2.958791209,507380,54255,9718,23426,13707,3267,507380,54255,23426,9718,13707,16974,647.290293,58.92307692,73.01098901,650489.5211,2880.965201,132.0467033,988262.2308,0.657179934,0.002904334,0.00013343,0.414838214,0.807529162,0.000350981,0.000109758,154,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16180.0002,1637790510,16180,10,3.333333333,4,2.958791209,480935,47488,9900,22639,12739,3441,480935,47488,22639,9900,12739,16180,512.2454212,62.90750916,76.88095238,686568.489,3106.541209,139.9020147,989426.7582,0.692912084,0.003130221,0.000141295,0.437298467,0.787330037,0.000307048,0.000104575,154,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17358.0002,2004392876,17358,10,3.333333333,4,2.901098901,469321,49854,9244,22880,13636,3722,469321,49854,22880,9244,13636,17358,646.540293,50.56868132,70.19505495,675405.3993,3507.56685,120.9578755,988023.337,0.682505827,0.00353607,0.000122246,0.404020979,0.785574375,0.00032251,0.000112267,151,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-21658.00014,191159604,21658,7,2.333333333,2,2.978021978,576324,58476,6397,25916,19519,2139,576324,58476,25916,6397,19519,21658,647.6547619,40.25091575,98.67857143,592979.5925,3061.768315,139.0054945,985184.3159,0.600049875,0.003091132,0.00014058,0.246835931,0.901237418,0.000378896,0.000140387,155,7
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15737.00022,2142966460,15737,11,3.666666667,4,2.92032967,474442,49889,9606,22151,12544,3193,474442,49889,22151,9606,12544,15737,500.9130037,66.11996337,84.52930403,695716.772,3529.136447,150.7701465,989779.6291,0.701910397,0.00355557,0.000152204,0.43365988,0.79710237,0.000322532,0.000101691,152,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-22769.00012,1658116042,22769,6,2,2,2.93956044,601668,61871,7304,27453,20149,2620,601668,61871,27453,7304,20149,22769,724.78663,34.4459707,83.26556777,555927.4515,3533.228938,117.7857143,983638.62,0.563232119,0.003569604,0.000119198,0.266054712,0.884931266,0.000401182,0.000147678,153,6
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-13501.00022,1338347867,13501,11,3.666666667,4,2.958791209,463432,48144,8980,19297,10317,3184,463432,48144,19297,8980,10317,13501,599.1749084,57.51923077,73.25091575,701639.5852,3160.691392,130.9514652,991197.6154,0.707017989,0.003180644,0.000132054,0.465357309,0.764165617,0.00031087,8.7144E-05,154,11
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-21752.00012,722652688,21752,6,2,2,2.901098901,587446,61315,6758,25987,19229,2523,587446,61315,25987,6758,19229,21752,614.8131868,37.48626374,86.40384615,583415.5293,3268.440476,123.967033,985016.7372,0.590363018,0.003300235,0.000125376,0.260053103,0.884010666,0.000397328,0.000141008,151,6
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-15934.00024,473677135,15934,12,4,4,2.958791209,478233,48861,9024,21945,12921,3013,478233,48861,21945,9024,12921,15934,588.8745421,57.48443223,75.37912088,692316.0879,3535.357143,133.010989,989698.8544,0.698401308,0.003562197,0.000134318,0.411209843,0.810907493,0.000315917,0.000102978,154,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19121.00024,56124132,19121,12,4,4,2.93956044,482043,45963,9243,24979,15736,3385,482043,45963,24979,9243,15736,19121,569.8076923,56.0018315,74.64835165,661780.4799,2915.847985,130.7957875,986581.6648,0.669579156,0.002942612,0.000132316,0.370030826,0.82296951,0.000297665,0.000123782,153,12
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-16323.0002,960914383,16323,10,3.333333333,4,2.978021978,448614,45878,10234,23001,12765,3558,448614,45878,23001,10234,12765,16323,506.2335165,52.87728938,71.98351648,706257.7555,3201.782051,125.047619,989215.1612,0.712958572,0.003226642,0.000126303,0.444937177,0.782025363,0.000296689,0.000105513,155,10
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19375.00018,267105303,19375,9,3,4,2.843406593,515081,56024,10052,25674,15622,3753,515081,56024,25674,10052,15622,19375,610.9175824,55.89377289,85.88919414,663224.9258,3229.061355,141.8910256,987505.7363,0.670246567,0.003258215,0.000143434,0.391524499,0.806296774,0.000362747,0.000125432,148,9
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-21792.00016,32660367,21792,8,2.666666667,2,2.92032967,572055,57734,9083,27238,18155,3637,572055,57734,27238,9083,18155,21792,643.96337,42.32967033,87.81043956,602916.544,3911.5,130.2408425,985260.2189,0.610115259,0.003950472,0.000131769,0.333467949,0.833103891,0.000374198,0.000141265,152,8
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-19218.00014,855076885,19218,7,2.333333333,2,2.92032967,571722,60462,6534,23403,16869,2349,571722,60462,23403,6534,16869,19218,606.0311355,39.29120879,87.09432234,606375.9524,3391.07326,126.459707,987180.8214,0.612553914,0.003419865,0.000127752,0.279194975,0.87777084,0.000391312,0.000124412,152,7
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-18336.00018,70722259,18336,9,3,4,2.862637363,516898,50057,9906,24599,14693,3643,516898,50057,24599,9906,14693,18336,545.0320513,53.53479853,74.63369963,638384.5531,3072.392857,128.2985348,987225.3855,0.645449532,0.003098925,0.000129721,0.402699297,0.801319808,0.000324011,0.000118651,149,9
D:3| T0: 0.10| T1: 151.00| I0: 69.3| I1: 20.9| WTP: 0.02,3,0.096153846,151,1000000,0.02,69.26269,20.93496,0,0,-17795.00022,124062222,17795,11,3.666666667,4,2.978021978,506190,53863,9583,23792,14209,3586,506190,53863,23792,9583,14209,17795,682.4496337,56.86446886,72.18681319,647304.3004,2749.89011,129.1639194,987586.1822,0.654318021,0.002773298,0.000130584,0.402782448,0.79848272,0.000348589,0.000115117,155,11
